"date","business","dish","price"
"10.07.2017","suppencult","Kartoffelschnitz mit Rindfleisch, Spätzle, Möhren, Sellerie, Lauch, Sahne und frischer Petersilie","4,70"
"11.07.2017","suppencult","Kartoffelschnitz mit Rindfleisch, Spätzle, Möhren, Sellerie, Lauch, Sahne und frischer Petersilie","4,70"
"12.07.2017","suppencult","Kartoffelschnitz mit Rindfleisch, Spätzle, Möhren, Sellerie, Lauch, Sahne und frischer Petersilie","4,70"
"13.07.2017","suppencult","Kartoffelschnitz mit Rindfleisch, Spätzle, Möhren, Sellerie, Lauch, Sahne und frischer Petersilie","4,70"
"14.07.2017","suppencult","Kartoffelschnitz mit Rindfleisch, Spätzle, Möhren, Sellerie, Lauch, Sahne und frischer Petersilie","4,70"
"10.07.2017","suppencult","Bologneser Reistopf mit Hackfleisch, Paprika, Zucchini, Sahne und frischer Petersilie","4,30"
"11.07.2017","suppencult","Bologneser Reistopf mit Hackfleisch, Paprika, Zucchini, Sahne und frischer Petersilie","4,30"
"12.07.2017","suppencult","Bologneser Reistopf mit Hackfleisch, Paprika, Zucchini, Sahne und frischer Petersilie","4,30"
"13.07.2017","suppencult","Bologneser Reistopf mit Hackfleisch, Paprika, Zucchini, Sahne und frischer Petersilie","4,30"
"14.07.2017","suppencult","Bologneser Reistopf mit Hackfleisch, Paprika, Zucchini, Sahne und frischer Petersilie","4,30"
"10.07.2017","suppencult","Bouillabaisse Fischsuppe mit Seelachsfilet, Möhren, Zwiebeln, Fenchel, frischen Tomaten und Schnittlauch","4,40"
"11.07.2017","suppencult","Bouillabaisse Fischsuppe mit Seelachsfilet, Möhren, Zwiebeln, Fenchel, frischen Tomaten und Schnittlauch","4,40"
"12.07.2017","suppencult","Bouillabaisse Fischsuppe mit Seelachsfilet, Möhren, Zwiebeln, Fenchel, frischen Tomaten und Schnittlauch","4,40"
"13.07.2017","suppencult","Bouillabaisse Fischsuppe mit Seelachsfilet, Möhren, Zwiebeln, Fenchel, frischen Tomaten und Schnittlauch","4,40"
