"ingredients","location","price","dish","date","business"
"","Adlershof","","Hähnchen in Paprikarahmsauce mit Reis","10.07.2017","Esswirtschaft"
"","Adlershof","","Hähnchen in Paprikarahmsauce mit Reis","11.07.2017","Esswirtschaft"
"","Adlershof","","Hähnchen in Paprikarahmsauce mit Reis","12.07.2017","Esswirtschaft"
"","Adlershof","","Hähnchen in Paprikarahmsauce mit Reis","13.07.2017","Esswirtschaft"
"","Adlershof","","Hähnchen in Paprikarahmsauce mit Reis","14.07.2017","Esswirtschaft"
"","Adlershof","","Salatherzen mit Ceasar Dressing und gebratener Hähnchenbrust","10.07.2017","Esswirtschaft"
"","Adlershof","","Salatherzen mit Ceasar Dressing und gebratener Hähnchenbrust","11.07.2017","Esswirtschaft"
"","Adlershof","","Salatherzen mit Ceasar Dressing und gebratener Hähnchenbrust","12.07.2017","Esswirtschaft"
"","Adlershof","","Salatherzen mit Ceasar Dressing und gebratener Hähnchenbrust","13.07.2017","Esswirtschaft"
"","Adlershof","","Salatherzen mit Ceasar Dressing und gebratener Hähnchenbrust","14.07.2017","Esswirtschaft"
"vegetarian","Adlershof","","Kartoffelsalat im Glas, mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","10.07.2017","Esswirtschaft"
"vegetarian","Adlershof","","Kartoffelsalat im Glas, mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","11.07.2017","Esswirtschaft"
"vegetarian","Adlershof","","Kartoffelsalat im Glas, mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","12.07.2017","Esswirtschaft"
"vegetarian","Adlershof","","Kartoffelsalat im Glas, mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","13.07.2017","Esswirtschaft"
"vegetarian","Adlershof","","Kartoffelsalat im Glas, mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","14.07.2017","Esswirtschaft"
"","Adlershof","","Tunesische Currysuppe mit Huhn","10.07.2017","Esswirtschaft"
"","Adlershof","","Tunesische Currysuppe mit Huhn","11.07.2017","Esswirtschaft"
"","Adlershof","","Tunesische Currysuppe mit Huhn","12.07.2017","Esswirtschaft"
"","Adlershof","","Tunesische Currysuppe mit Huhn","13.07.2017","Esswirtschaft"
"","Adlershof","","Tunesische Currysuppe mit Huhn","14.07.2017","Esswirtschaft"
"","Adlershof","","Möhrensuppe mit Pute","10.07.2017","Esswirtschaft"
"","Adlershof","","Möhrensuppe mit Pute","11.07.2017","Esswirtschaft"
"","Adlershof","","Möhrensuppe mit Pute","12.07.2017","Esswirtschaft"
"","Adlershof","","Möhrensuppe mit Pute","13.07.2017","Esswirtschaft"
"","Adlershof","","Möhrensuppe mit Pute","14.07.2017","Esswirtschaft"
"","Adlershof","","Mediterrane Ratatouillesuppe","10.07.2017","Esswirtschaft"
"","Adlershof","","Mediterrane Ratatouillesuppe","11.07.2017","Esswirtschaft"
"","Adlershof","","Mediterrane Ratatouillesuppe","12.07.2017","Esswirtschaft"
"","Adlershof","","Mediterrane Ratatouillesuppe","13.07.2017","Esswirtschaft"
"","Adlershof","","Mediterrane Ratatouillesuppe","14.07.2017","Esswirtschaft"
"","Adlershof","","Curry-Lamm-Kartoffeln mit Kichererbsen und Basmatireis","10.07.2017","Esswirtschaft"
"vegetarian","Adlershof","","Schupfnudelpfanne mit Gemüse und frittiertem Rucola","10.07.2017","Esswirtschaft"
"","Adlershof","","Kasselernacken mit Sauerkraut, dazu Kartoffeln","11.07.2017","Esswirtschaft"
"vegetarian","Adlershof","","Spaghettini mit Provolone, Olivenöl und Rucola","11.07.2017","Esswirtschaft"
"","Adlershof","","Schweinefleisch Hoi Sin mit Gemüse, dazu Mie Nudeln","12.07.2017","Esswirtschaft"
"vegetarian","Adlershof","","Leichtes Gemüsecurry mit Shiitake-Pilzen und Basmatireis","12.07.2017","Esswirtschaft"
"","Adlershof","","Jägerschnitzel mit Tomatensauce und Spiralnudeln","13.07.2017","Esswirtschaft"
"vegetarian","Adlershof","","Lauch-Zwiebel-Quiche mit Rauke und Parmesan","13.07.2017","Esswirtschaft"
"","Adlershof","","Hokifilet Müllerinnen Art  in Honig-Senf-Sauce, dazu Reis","14.07.2017","Esswirtschaft"
"vegan;vegetarian","Adlershof","","Ragout von mediterranem Gemüse mit Rosmarin-kartoffeln und Rucolasalat","14.07.2017","Esswirtschaft"
