"price","business","ingredients","location","date","dish"
"3.90","Albert","vegetarian","Adlershof","17.07.2017","Blumenkohlcremesuppe mit Croutons"
"5.00","Albert","vegetarian","Adlershof","17.07.2017","Linguine mit Waldpilzsauce & Rucola"
"5.90","Albert","","Adlershof","17.07.2017","Seelachsfilet im Knuspermantel auf Kohlrabi-Karottenrahm & Wasabi-Kartoffelpüree"
"3.90","Albert","","Adlershof","18.07.2017","Pikante Maiscremesuppe mit Hähnchenbruststreifen"
"5.00","Albert","vegetarian","Adlershof","18.07.2017","Karotten-Sesam-Knusperschnitzel mit Schnittlauchsauce & Reis"
"5.80","Albert","","Adlershof","18.07.2017","Geschnetzeltes „Züricher Art“ mit Champignons & Spätzle"
"3.90","Albert","","Adlershof","19.07.2017","Weiße Bohneneintopf mit Rindfleisch"
"5.00","Albert","vegetarian","Adlershof","19.07.2017","Cannelloni mit Spinat-Ricottafüllung, Tomatensauce & Mozzarella"
"5.80","Albert","","Adlershof","19.07.2017","Hähnchenbrust in Senf-Estragonsauce mit Broccoli & Reis"
"3.90","Albert","vegetarian","Adlershof","20.07.2017","Gemüsesuppe mit Maultaschenstreifen"
"5.00","Albert","vegetarian","Adlershof","20.07.2017","Lauchquiche mit gemischtem Salat & Honig-Senfdressing"
"5.80","Albert","","Adlershof","20.07.2017","Saltimbocca von der Hähnchenbrust auf Spaghetti mit mediterranem Tomatenragout & Parmesan"
"3.90","Albert","","Adlershof","21.07.2017","Kohlrabieintopf mit Kasseler"
"5.00","Albert","vegetarian","Adlershof","21.07.2017","Käsespätzle mit Röstzwiebeln"
"5.80","Albert","","Adlershof","21.07.2017","Mit Hackfleisch gefüllte Kohlroulade auf Kartoffelstampf"
"price","business","ingredients","location","date","dish"
"4,70","Suppencult","","Alexanderplatz","17.07.2017","Soljanka mit Kassler, Kartoffeln, Tomaten, Paprika, sauren Gurken, Sahne und frischer Petersilie"
"4,70","Suppencult","","Alexanderplatz","18.07.2017","Soljanka mit Kassler, Kartoffeln, Tomaten, Paprika, sauren Gurken, Sahne und frischer Petersilie"
"4,70","Suppencult","","Alexanderplatz","19.07.2017","Soljanka mit Kassler, Kartoffeln, Tomaten, Paprika, sauren Gurken, Sahne und frischer Petersilie"
"4,70","Suppencult","","Alexanderplatz","20.07.2017","Soljanka mit Kassler, Kartoffeln, Tomaten, Paprika, sauren Gurken, Sahne und frischer Petersilie"
"4,70","Suppencult","","Alexanderplatz","21.07.2017","Soljanka mit Kassler, Kartoffeln, Tomaten, Paprika, sauren Gurken, Sahne und frischer Petersilie"
"4,30","Suppencult","","Alexanderplatz","17.07.2017","Kartoffeltopf mit Speck und Würstchen, Lauch, Sahne und frischer Petersilie"
"4,30","Suppencult","","Alexanderplatz","18.07.2017","Kartoffeltopf mit Speck und Würstchen, Lauch, Sahne und frischer Petersilie"
"4,30","Suppencult","","Alexanderplatz","19.07.2017","Kartoffeltopf mit Speck und Würstchen, Lauch, Sahne und frischer Petersilie"
