"price","dish","date","ingredients","business","location"
"3.90","Tomaten-Kokossuppe mit Sprossen","24.07.2017","Vegetarian;Soup","Albert","Adlershof"
"5.00","Penne „Arrabiata“ mit Parmesan","24.07.2017","Vegetarian","Albert","Adlershof"
"5.80","Matjes mit Hausfrauensauce & Salzkartoffeln","24.07.2017","","Albert","Adlershof"
"3.90","Geflügelcremesuppe mit Schnittlauch","25.07.2017","Soup","Albert","Adlershof"
"5.00","Zwiebel-Frischkäsekuchen mit Salat & Honig-Senfdressing","25.07.2017","Vegetarian","Albert","Adlershof"
"5.80","Cevapcici mit Tzaziki & Tomatenreis","25.07.2017","","Albert","Adlershof"
"4.00","Andalusische Fischsuppe mit Knoblauch & Paprika","26.07.2017","Fish;Soup","Albert","Adlershof"
"5.00","Ofenkartoffel mit toskanischem Gemüse & Schafskäse","26.07.2017","Vegetarian","Albert","Adlershof"
"5.80","Spaghetti „Bolognese“ mit Rucola & Parmesan","26.07.2017","","Albert","Adlershof"
"3.90","Kürbis-Currysuppe mit Chili","27.07.2017","Vegetarian;Soup","Albert","Adlershof"
"5.00","Glasnudelsalat mit Frühlingsrolle & Sprossen","27.07.2017","Vegetarian","Albert","Adlershof"
"5.80","Schweinebraten mit Schwarzbiersauce, Bayrisch Kraut & böhmische Knödel","27.07.2017","","Albert","Adlershof"
"3.90","Grüne Gazpacho mit Croutons","28.07.2017","Vegetarian","Albert","Adlershof"
"5.00","Gnocchi in Gorgonzolasauce mit Walnüssen & rosa Pfefferbeeren","28.07.2017","Vegetarian","Albert","Adlershof"
"5.80","Hackbällchen mit Schmorgurken & Salzkartoffeln","28.07.2017","","Albert","Adlershof"
"price","dish","date","ingredients","business","location"
"5,90","Salatteller mit frischem buntem Gartensalat wahlweise mit Sweet Chili Chicken","24.07.2017","","La Petite","Adlershof"
"5,90","Salatteller mit frischem buntem Gartensalat wahlweise mit Sweet Chili Chicken","25.07.2017","","La Petite","Adlershof"
