"location","ingredients","price","date","dish","business"
"Adlershof","Bio","7.5","14.7.2017","Puten-Tagliatelle mit Limettensauce und buntem Sommersalat","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.9","14.7.2017","Gemüse-Paella á la Jouis Nour mit frischem Gemüse und Joghurt-Dip","Jouis Nour"
"Adlershof","Bio;Vegetarian;Soup","4.5","14.7.2017","Zucchinicremesuppe mit gerösteten Haferflocken","Jouis Nour"
"Adlershof","Bio","7.5","17.7.2017","Gebratene Hähnchenkeule mit Backkartoffeln an Knackigem Krautsalat und Salsa-Dip","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.9","17.7.2017","Buntes Spirelli-Brokkoli-Gratin mit Grünkern und Tomatensauce","Jouis Nour"
"Adlershof","Bio;Vegetarian;Soup","4.5","17.7.2017","Zucchinicremesuppe mit gerösteten Haferflocken","Jouis Nour"
"Adlershof","Bio","7.5","18.7.2017","Griechischer Hackfleisch-Auflauf mit Bohnen und Fetakäse an Kräauterquark","Jouis Nour"
"Adlershof","Bio;Vegetarian;Vegan","5.9","18.7.2017","Gemüse-Quinoa-Pfanne mit Naturreis und einer leichten Curry-Sauce","Jouis Nour"
"Adlershof","Bio;Vegetarian;Soup","4","18.7.2017","Toskanische Zuppa del Contadino (Bauersuppe) m. Dinkel u. geriebene Käse","Jouis Nour"
"Adlershof","Bio","7.5","19.7.2017","Rinder-Rahmgeschnetzeltes mit Kartoffelpüree und Champignons","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.5","19.7.2017","Spagetthi mit Oliven, Peperoni, Käse und frischen Kräutern, dazu Salat","Jouis Nour"
"Adlershof","Bio;Vegetarian;Vegan","4.5","19.7.2017","Grüner Bohnen-Eintopf mit Sonnenblumenkernen","Jouis Nour"
"Adlershof","Fish","7.9","20.7.2017","Seelachs mit Rahmlinsen, bunten Reis und grüner Salat","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.9","20.7.2017","Kartoffel-Pfifferlingsauflauf mit Lauchstreifen und Kräaterkruste","Jouis Nour"
"Adlershof","Bio;Vegetarian;Soup","4","20.7.2017","Kohlrabicreme-Suppe mit Schnittlauch","Jouis Nour"
"Adlershof","Bio","7","21.7.2017","Klopse “Königsberger Art” mit Rote Beete und Kartoffelpüree","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.5","21.7.2017","Bunte Gemüse-Schupfnudeln-Pfanne mit Pesto","Jouis Nour"
"Adlershof","Bio;Vegetarian;Vegan","4","21.7.2017","Blumenkohl-Süppchen mit gerösteten Haferflocken","Jouis Nour"
"Adlershof","Bio","7.5","24.7.2017","Schaschlik-Spieß mit ungarische, Letscho und Reis","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.9","24.7.2017","Gebackene Rosmarin-Ofenkartoffeln mit Ratatouille-Gemüse und Paprika Schmand","Jouis Nour"
"Adlershof","Bio;Vegan;Vegetarian;Soup","4","24.7.2017","Paprika-Mais Suppe mit Sonnenblumenkerne","Jouis Nour"
"Adlershof","Bio","7","25.7.2017","Bratwurst auf Weinsauerkraut mit Petersilienkartoffeln und Kräutersenfsauce","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.9","25.7.2017","Indische Gemüsepfanne mit Kichererbsenpüre und Joguhrt-Minz-Dip","Jouis Nour"
"Adlershof","Bio;Vegetarian;Soup","4","25.7.2017","Champignon-Cremesuppe mit frischen Kräutern","Jouis Nour"
"Adlershof","Bio","7.5","26.7.2017","Hausgemachtes Leber-Ragout mit Apfel an Kartoffelpüree und gerösteten Zwiebeln","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.9","26.7.2017","Bandnudeln an Pfifferlingsrahm und Krischtomaten","Jouis Nour"
"Adlershof","Bio;Vegetarian;Soup","4","26.7.2017","Berliner Kartoffelsuppe mit Kräuterschmand","Jouis Nour"
"Adlershof","Fish","7.9","27.7.2017","Schollenfilet gedünstet in Dillrahm mit Kartoffeln und Gurkensalat","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.9","27.7.2017","Mediterrane Gemüse-Lasagne mit einem Kräuter-Dip","Jouis Nour"
"Adlershof","Bio;Vegetarian;Soup","4","27.7.2017","Tomatencremesuppe mit Käse-Croutons","Jouis Nour"
"Adlershof","Bio","7.5","28.7.2017","Brandenburger Schmorkohl mit Hackfleisch und Petersilienkartoffeln","Jouis Nour"
"Adlershof","Bio;Vegetarian;Vegan","6","27.7.2017","Farfalle mit Tomaten-Oliven-Sauce und frischen Kräutern","Jouis Nour"
"Adlershof","Bio;Vegetarian","4","27.7.2017","Lauch-Rahmsüppchen mit Karotttenraspeln","Jouis Nour"
"Adlershof","Bio","7.5","31.7.2017","Schnitzel mit Pfifferlings-Waldpilz-Rahmsauce, Kartoffelstampf und Tomatensalat","Jouis Nour"
"Adlershof","Bio;Vegetarian;Vegan","5.5","31.7.2017","Spaghettimit Gemüsebolognese und Sonnenblumenkernen","Jouis Nour"
"Adlershof","Bio;Vegetarian;Vegan","4.5","31.7.2017","Feuriger Paprikatopf mit Tofustückchen","Jouis Nour"
"Adlershof","Bio;Soup","4.5","1.8.2017","Thai-Gemüsesuppe mit Kokosmilch und Hähnchen","Jouis Nour"
"Adlershof","Bio","7.5","1.8.2017","Tafelspitz mit Meerrettichsauce und Fingermöhren an Salzkartoffeln","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.9","1.8.2017","Griechischer Spinatauflauf mit Tzatziki und geröstetem Sesam","Jouis Nour"
"Adlershof","Bio;Vegetarian;Soup","4","2.8.2017","Spinatcremesuppe mit Tomatenwürfeln","Jouis Nour"
"Adlershof","Bio","7.5","2.8.2017","Pikanter Gulasch vom Schwein mit Waldpilzen und Salzkartoffeln","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.5","2.8.2017","Pasta mit Gorgonzolasauce, Rucola und Kirschtomaten","Jouis Nour"
"Adlershof","Bio;Vegan;Vegetarian;Soup","4","3.8.2017","Rote Linsensuppe mit Paprikastreifen","Jouis Nour"
"Adlershof","Fish","7.9","3.8.2017","Gebratener Rotbarsch mit Senfsauce, Kartoffeln und Rahmgurken","Jouis Nour"
"Adlershof","Bio","5.9","3.8.2017","Polenta-Porree-Auflauf mit gerösteten Sonnenblumenkernen und Tomaten-Pesto","Jouis Nour"
"Adlershof","Bio;Vegetarian","4","4.8.2017","Kaltes Gurkensüppchen mit Tomaten-Kräuter-Pesto","Jouis Nour"
"Adlershof","Bio","7","4.8.2017","Geflügelbällchen mit Paprika-Tomaten-Gemüse und Kartoffelecken","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.5","4.8.2017","Rahmspinat mit gekochten Eiern an Petersilienkartoffeln","Jouis Nour"
"Adlershof","Bio;Vegan;Vegetarian;Soup","4","7.8.2017","Fruchtige Kürbissuppe mit gerösteten Kürbiskernen","Jouis Nour"
"Adlershof","Bio","7.5","7.8.2017","Rindergeschnetzeltes in pikanter Pfeffersauce mit Langkornreis und frischen Kräutern","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.9","7.8.2017","Bunte Gemüse-Gnocchipfanne an Kräuterrahm","Jouis Nour"
"Adlershof","Bio;Vegetarian;Soup","4","8.8.2017","Brokkolisuppe mit Tomatenwürfel und Sonnenblumenkernen","Jouis Nour"
"Adlershof","Bio","7.5","8.8.2017","Mini Grillhaxen mit Sellerie-Kartoffelpüree und Malzbiersauce","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.9","8.8.2017","Orientalische Gemüse Cous Cous Pfanne mit Joghurt-Minz-Dip","Jouis Nour"
"Adlershof","Bio;Vegetarian;Vegan","4","9.8.2017","Kichererbsensüppchen mit frischen Kräutern","Jouis Nour"
"Adlershof","Bio","7.5","9.8.2017","Gebratene Hähnchenkeule mit Backkartoffeln, Sour Cream und Cole Slaw","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.9","9.8.2017","Tagliatelle mit Pfifferling-Rahmsauce und Petersilienschmand","Jouis Nour"
"Adlershof","Bio;Soup","5","10.8.2017","Fleisch-Soljanka mit saurer Sahne und frischen Kräutern","Jouis Nour"
"Adlershof","Fish","7.9","10.8.2017","Kabeljau an Currygemüse mit Basmatireis und buntem Blattsalat","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.9","10.8.2017","Spinat-Lasagne mit Frischkäsesauce","Jouis Nour"
"Adlershof","Bio;Vegetarian;Vegan","4","11.8.2017","Minestrone mit Knackigen Croutons","Jouis Nour"
"Adlershof","Bio","7","11.8.2017","Boulette nach Balkan Art mit Feta und Peperoni, dazu grüne Bohnen und Kartoffeln","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.9","11.8.2017","Bulgur Gemüseüfanne mit gepufften Buchweizen und Pestosauce","Jouis Nour"
"Adlershof","Bio;Vegan;Vegetarian;Soup","4","14.8.2017","Süßkartoffelsuppe mit Blattspinat und Tomatenwürfeln","Jouis Nour"
"Adlershof","Bio","7","14.8.2017","Hackfleisch-Kohlpfanne mit Salzkartoffeln","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.9","14.8.2017","Gemüseteller mit Holländischer Sauce","Jouis Nour"
"Adlershof","Bio;Vegetarian;Soup","4","15.8.2017","Tomatensuppe mit Basilikum-Schmand","Jouis Nour"
"Adlershof","Bio","7.5","15.8.2017","Gefülltes Putensteak mit Brokkoli und Kurkumareis","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.9","15.8.2017","Mediterrane Gemüse-Lasagne mit Buchweizen und Hausgemachtem Kräuterquark","Jouis Nour"
"Adlershof","Bio;Vegetarian","4.5","16.8.2017","Vegetarisches Chili con Soja mit Koriander und Joghurtdip","Jouis Nour"
"Adlershof","Bio","7.5","16.8.2017","Schnitzel Wiener Art mit Blumenkohlrahm und Salzkartoffeln","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.9","16.8.2017","Penne Arabiatta mit Kirschtomaten und Gouda","Jouis Nour"
"Adlershof","Bio;Vegetarian;Soup","4","17.8.2017","Feine Erbsen-Kräutercremesuppe mit Karottenstreifen","Jouis Nour"
"Adlershof","Fish","","17.8.2017","Forelle Müllerin Art mit Wurzelgemüse und Petersilienkartoffeln","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.9","17.8.2017","Waldpilzrisotto mit Parmesanhobel","Jouis Nour"
"Adlershof","Bio;Vegetarian","4","18.8.2017","Blumenkohl-Süppchen mit gerösteten Haferflocken","Jouis Nour"
"Adlershof","Bio","7","18.8.2017","Rinderboulette gefüllt mit Fetakäse an Ratatouille und Tomatenreis","Jouis Nour"
"Adlershof","Bio;Vegetarian;Vegan","5.9","18.8.2017","Linsen-Gemüse-Curry mit Basmatireis und Koriander","Jouis Nour"
"Adlershof","Bio;Vegan;Vegetarian;Soup","4","21.8.2017","Zucchinisuppe mit Infwer-Croutons","Jouis Nour"
"Adlershof","Bio","7.5","21.8.2017","Szegediner Gulasch mit Kartoffeln und Creme Fraiche","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.5","21.8.2017","Tomatisierte Spaghetti mit Spinat, gerösteten Nüssen und geriebenem Käse","Jouis Nour"
"Adlershof","Bio;Vegetarian;Soup","4","22.8.2017","Beluga-Linsensuppe mit Zitronenjoghurt-Dip","Jouis Nour"
"Adlershof","Bio","7","22.8.2017","Falscher Hase mit Möhren auf Kartoffelpüree mit Dill-Joghurt-Dip","Jouis Nour"
"Adlershof","Bio;Vegetarian;Vegan","5.9","22.8.2017","Gemüse-Grünkern-Pfanne mit Naturreis und einer leichten Nuss-Sauce","Jouis Nour"
"Adlershof","Bio","4","23.8.2017","Klare Rinderbrühe mit Fadennudeln","Jouis Nour"
"Adlershof","Bio","7.5","23.8.2017","Putenschnitzel mit Pfifferlingsauce und Rosmarinkartoffeln","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.9","23.8.2017","Schupfnudelpfanne mit Basilikumpesto und Marktgemüse","Jouis Nour"
"Adlershof","Bio;Vegetarian;Soup","4","24.8.2017","Cremige Rucola-Käsesuppe mit Chili-Croutons","Jouis Nour"
"Adlershof","Fish","7.9","24.8.2017","Gebratener Seelachs auf Mangold-Zucchinigemüse mit gebackenen Süßkartoffeln und Currysauce","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.9","24.8.2017","Feuriger Couscous mit marokkanischem Gemüsetopf und Ingwer-Zimt-Dip","Jouis Nour"
"Adlershof","Bio;Vegetarian;Soup","4","25.8.2017","Sellerie-Cremesuppe mit Kräutern","Jouis Nour"
"Adlershof","Bio","7.5","25.8.2017","Rinderstreifen nach Stroganoff Art mit Salzkartoffeln","Jouis Nour"
"Adlershof","Bio;Vegetarian;Vegan","5.9","25.8.2017","Blumenkohl-Amaranth-Pfanne an Tomatensauce","Jouis Nour"
"Adlershof","Bio;Vegetarian;Soup","4","28.8.2017","Indische Möhrensuppe mit Orangen-Joghurt","Jouis Nour"
"Adlershof","Bio","7.5","28.8.2017","Puten-Gyros mit Tomaten-Paprikasauce und Vollkornreis","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.9","28.8.2017","Gemüse-Kichererbsenpfanne und Joghurt-Dip","Jouis Nour"
"Adlershof","Bio;Vegetarian;Soup","4","29.8.2017","Kartoffel-Frischkäsesuppe mit frischem Dill","Jouis Nour"
"Adlershof","Bio","6.5","29.8.2017","Berliner Jägerschnitzel mit Tomatensauce und Spirelli","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.9","29.8.2017","Getreide-Gemüse-Taler mit Sesamsauce und buntem Salat","Jouis Nour"
"Adlershof","Bio;Vegetarian;Soup","4","30.8.2017","Kürbis-Cremesuppe mit Orangen und Ingwer dazu Sesam","Jouis Nour"
"Adlershof","Bio","7.5","30.8.2017","Cordon Bleu vom Schwein mit Brokkoli und Kartoffelstampf","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.9","30.8.2017","Farfalle mit Pilz-Ragout und Cherrytomaten dazu geriebenen Käse","Jouis Nour"
"Adlershof","Bio;Soup","4.5","31.8.2017","Berliner Erbsensuppe mit Wiener Würstchen","Jouis Nour"
"Adlershof","Fish","7.9","31.8.2017","Gebratenes Zanderfilet auf Karotten-Lauch-Rahm und Kräuterreis","Jouis Nour"
"Adlershof","Bio;Vegetarian","5.5","31.8.2017","Vollkorn-Spaghetti mit Pesto und Tomatenwürfeln","Jouis Nour"
"Adlershof","Vegetarian","5","17.7.2017","Leckerer Rucola-Salat mit Champignon, Parmaschinken und Parmesan","FOOD"
"Adlershof","","6","17.7.2017","Pasta der Woche: Spätzle mit Käse, Cherrytomaten und Bacon","FOOD"
"Adlershof","Fish","7","17.7.2017","Das „Mr. Tentacles“- Sandwich mit Oktopus, Karottenpüree, Sellerie und Dill","FOOD"
"Adlershof","Vegetarian","5","18.7.2017","Leckerer Rucola-Salat mit Champignon, Parmaschinken und Parmesan","FOOD"
"Adlershof","","6","18.7.2017","Pasta der Woche: Spätzle mit Käse, Cherrytomaten und Bacon","FOOD"
"Adlershof","Fish","7","18.7.2017","Das „Mr. Tentacles“- Sandwich mit Oktopus, Karottenpüree, Sellerie und Dill","FOOD"
"Adlershof","Vegetarian","5","19.7.2017","Leckerer Rucola-Salat mit Champignon, Parmaschinken und Parmesan","FOOD"
"Adlershof","","6","19.7.2017","Pasta der Woche: Spätzle mit Käse, Cherrytomaten und Bacon","FOOD"
"Adlershof","Fish","7","19.7.2017","Das „Mr. Tentacles“- Sandwich mit Oktopus, Karottenpüree, Sellerie und Dill","FOOD"
"Adlershof","Vegetarian","5","20.7.2017","Leckerer Rucola-Salat mit Champignon, Parmaschinken und Parmesan","FOOD"
"Adlershof","","6","20.7.2017","Pasta der Woche: Spätzle mit Käse, Cherrytomaten und Bacon","FOOD"
"Adlershof","Fish","7","20.7.2017","Das „Mr. Tentacles“- Sandwich mit Oktopus, Karottenpüree, Sellerie und Dill","FOOD"
"Adlershof","Vegetarian","5","21.7.2017","Leckerer Rucola-Salat mit Champignon, Parmaschinken und Parmesan","FOOD"
"Adlershof","","6","21.7.2017","Pasta der Woche: Spätzle mit Käse, Cherrytomaten und Bacon","FOOD"
"Adlershof","Fish","7","21.7.2017","Das „Mr. Tentacles“- Sandwich mit Oktopus, Karottenpüree, Sellerie und Dill","FOOD"
"Adlershof","","5","24.7.2017","Leckerergemischter Salatmit frittierten Chicken Fingers und Vinaigrette","FOOD"
"Adlershof","Fish","6","24.7.2017","Pasta der Wochemit Pesto, Lachs und Cherrytomaten","FOOD"
"Adlershof","","7","24.7.2017","Der„Happy Taste „- Burgermit Rindfleisch, Portobello Pilzen, Emmentaler, Rucola und Mayo","FOOD"
"Adlershof","","5","25.7.2017","Leckerergemischter Salatmit frittierten Chicken Fingers und Vinaigrette","FOOD"
"Adlershof","Fish","6","25.7.2017","Pasta der Wochemit Pesto, Lachs und Cherrytomaten","FOOD"
"Adlershof","","7","25.7.2017","Der„Happy Taste „- Burgermit Rindfleisch, Portobello Pilzen, Emmentaler, Rucola und Mayo","FOOD"
