"ingredients","location","price","business","dish","date"
"Vegetarian;Soup","Adlershof","3.90","Albert","Kartoffel-Zucchini-Suppe mit Joghurt","07.08.2017"
"Vegetarian","Adlershof","5.00","Albert","Bunter Nudel-Gemüseauflauf mit Mozzarella","07.08.2017"
"","Adlershof","6.00","Albert","Paniertes Schollenfilet mit Remoulade & lauwarmen Kartoffel-Gurkensalat","07.08.2017"
"","Adlershof","3.90","Albert","Grüne Bohneneintopf mit Kasseler","08.08.2017"
"Vegetarian","Adlershof","5.00","Albert","Kohlrabi-Mangold-Curry mit Reis & Sprossen","08.08.2017"
"","Adlershof","5.80","Albert","Chili con Carne in der Weizentortilla","08.08.2017"
"Vegetarian;Soup","Adlershof","3.90","Albert","Karotten-Ingwer-Suppe mit Granatapfelkernen","09.08.2017"
"Vegetarian","Adlershof","5.00","Albert","Farfalle mit Bärlauchpesto, Tomatenragout & Parmesan","09.08.2017"
"","Adlershof","5.80","Albert","Gebratener Leberkäse mit Sauerkraut & Salzkartoffeln","09.08.2017"
"Vegetarian;Soup","Adlershof","3.90","Albert","Vietnamesische Gemüsesuppe mit Champignons, Ingwer & Koriander","10.08.2017"
"Vegetarian","Adlershof","5.00","Albert","Backkartoffel mit Kräuterquark & gemischtem Salat","10.08.2017"
"","Adlershof","5.80","Albert","Elsässer Hähnchenbrust mit Speck & Zwiebel überbacken, Schnittlauchsauce & Linguine","10.08.2017"
"Vegetarian;Soup","Adlershof","3.90","Albert","Currysuppe mit Papayawürfel","11.08.2017"
"Vegetarian","Adlershof","5.00","Albert","Spaghetti Bolognese vegetarisch mit Rucola","11.08.2017"
"","Adlershof","5.80","Albert","Bami Goreng mit Hähnchenbrust, Mie-Nudeln & Asiagemüse","11.08.2017"
"ingredients","location","price","business","dish","date"
"","Adlershof","","Esswirtschaft","Spaghetti Bolognese mit gehobeltem Parmesan","07.08.2017"
"","Adlershof","","Esswirtschaft","Spaghetti Bolognese mit gehobeltem Parmesan","08.08.2017"
"","Adlershof","","Esswirtschaft","Spaghetti Bolognese mit gehobeltem Parmesan","09.08.2017"
"","Adlershof","","Esswirtschaft","Spaghetti Bolognese mit gehobeltem Parmesan","10.08.2017"
"","Adlershof","","Esswirtschaft","Spaghetti Bolognese mit gehobeltem Parmesan","11.08.2017"
"","Adlershof","","Esswirtschaft","Griechischer Salat mit Tomaten, Gurken, Oliven, Zwiebeln und Schafskäse","07.08.2017"
"","Adlershof","","Esswirtschaft","Griechischer Salat mit Tomaten, Gurken, Oliven, Zwiebeln und Schafskäse","08.08.2017"
"","Adlershof","","Esswirtschaft","Griechischer Salat mit Tomaten, Gurken, Oliven, Zwiebeln und Schafskäse","09.08.2017"
"","Adlershof","","Esswirtschaft","Griechischer Salat mit Tomaten, Gurken, Oliven, Zwiebeln und Schafskäse","10.08.2017"
"","Adlershof","","Esswirtschaft","Griechischer Salat mit Tomaten, Gurken, Oliven, Zwiebeln und Schafskäse","11.08.2017"
"","Adlershof","","Esswirtschaft","Kartoffelsalat im Glas mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","07.08.2017"
"","Adlershof","","Esswirtschaft","Kartoffelsalat im Glas mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","08.08.2017"
"","Adlershof","","Esswirtschaft","Kartoffelsalat im Glas mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","09.08.2017"
"","Adlershof","","Esswirtschaft","Kartoffelsalat im Glas mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","10.08.2017"
"","Adlershof","","Esswirtschaft","Kartoffelsalat im Glas mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","11.08.2017"
"","Adlershof","","Esswirtschaft","Berliner Schmortopf mit Rindfleisch","07.08.2017"
"","Adlershof","","Esswirtschaft","Berliner Schmortopf mit Rindfleisch","08.08.2017"
"","Adlershof","","Esswirtschaft","Berliner Schmortopf mit Rindfleisch","09.08.2017"
"","Adlershof","","Esswirtschaft","Berliner Schmortopf mit Rindfleisch","10.08.2017"
"","Adlershof","","Esswirtschaft","Berliner Schmortopf mit Rindfleisch","11.08.2017"
"Soup","Adlershof","","Esswirtschaft","Thailändische grüne Currysuppe mit Hühnchen","07.08.2017"
"Soup","Adlershof","","Esswirtschaft","Thailändische grüne Currysuppe mit Hühnchen","08.08.2017"
"Soup","Adlershof","","Esswirtschaft","Thailändische grüne Currysuppe mit Hühnchen","09.08.2017"
"Soup","Adlershof","","Esswirtschaft","Thailändische grüne Currysuppe mit Hühnchen","10.08.2017"
"Soup","Adlershof","","Esswirtschaft","Thailändische grüne Currysuppe mit Hühnchen","11.08.2017"
"Soup","Adlershof","","Esswirtschaft","Spinatsuppe mit Gnocchi","07.08.2017"
"Soup","Adlershof","","Esswirtschaft","Spinatsuppe mit Gnocchi","08.08.2017"
"Soup","Adlershof","","Esswirtschaft","Spinatsuppe mit Gnocchi","09.08.2017"
"Soup","Adlershof","","Esswirtschaft","Spinatsuppe mit Gnocchi","10.08.2017"
"Soup","Adlershof","","Esswirtschaft","Spinatsuppe mit Gnocchi","11.08.2017"
"","Adlershof","","Esswirtschaft","Schweinefleisch süß-sauer mit Gemüse aus dem Wok, dazu Basmatireis","07.08.2017"
"Vegetarian","Adlershof","","Esswirtschaft","Gnocchi di Patate mit Pilzrahmsoße und Parmesan","07.08.2017"
"","Adlershof","","Esswirtschaft","Berliner Boulette mit Mischgemüse und Kartoffeln","08.08.2017"
"Vegetarian","Adlershof","","Esswirtschaft","Gemüsesalsa mit Pasta","08.08.2017"
"","Adlershof","","Esswirtschaft","Spies vom Schwein mit Paprika und Zwiebeln, dazu Reis","09.08.2017"
"Vegetarian","Adlershof","","Esswirtschaft","Nudelrisotto mit Erbsen und Schmelztomaten","09.08.2017"
"","Adlershof","","Esswirtschaft","Geschmortes Ochsenbäckchen mit Kartoffelpüree und Röstzwiebeln","10.08.2017"
"Vegetarian","Adlershof","","Esswirtschaft","Tamilisches Karottencurry mit Joghurt, Koriander und Pappadums","10.08.2017"
"","Adlershof","","Esswirtschaft","Buntbarsch auf Brokkolireis, dazu Zitronenlassi","11.08.2017"
"ingredients","location","price","business","dish","date"
"Bio","Adlershof","7.5","Jouis Nour","Puten-Tagliatelle mit Limettensauce und buntem Sommersalat","14.7.2017"
"Bio;Vegetarian","Adlershof","5.9","Jouis Nour","Gemüse-Paella á la Jouis Nour mit frischem Gemüse und Joghurt-Dip","14.7.2017"
"Bio;Vegetarian;Soup","Adlershof","4.5","Jouis Nour","Zucchinicremesuppe mit gerösteten Haferflocken","14.7.2017"
"Bio","Adlershof","7.5","Jouis Nour","Gebratene Hähnchenkeule mit Backkartoffeln an Knackigem Krautsalat und Salsa-Dip","17.7.2017"
"Bio;Vegetarian","Adlershof","5.9","Jouis Nour","Buntes Spirelli-Brokkoli-Gratin mit Grünkern und Tomatensauce","17.7.2017"
"Bio;Vegetarian;Soup","Adlershof","4.5","Jouis Nour","Zucchinicremesuppe mit gerösteten Haferflocken","17.7.2017"
"Bio","Adlershof","7.5","Jouis Nour","Griechischer Hackfleisch-Auflauf mit Bohnen und Fetakäse an Kräauterquark","18.7.2017"
"Bio;Vegan;Vegetarian","Adlershof","5.9","Jouis Nour","Gemüse-Quinoa-Pfanne mit Naturreis und einer leichten Curry-Sauce","18.7.2017"
"Bio;Vegetarian;Soup","Adlershof","4","Jouis Nour","Toskanische Zuppa del Contadino (Bauersuppe) m. Dinkel u. geriebene Käse","18.7.2017"
"Bio","Adlershof","7.5","Jouis Nour","Rinder-Rahmgeschnetzeltes mit Kartoffelpüree und Champignons","19.7.2017"
"Bio;Vegetarian","Adlershof","5.5","Jouis Nour","Spagetthi mit Oliven, Peperoni, Käse und frischen Kräutern, dazu Salat","19.7.2017"
"Bio;Vegan;Vegetarian","Adlershof","4.5","Jouis Nour","Grüner Bohnen-Eintopf mit Sonnenblumenkernen","19.7.2017"
"Fish","Adlershof","7.9","Jouis Nour","Seelachs mit Rahmlinsen, bunten Reis und grüner Salat","20.7.2017"
"Bio;Vegetarian","Adlershof","5.9","Jouis Nour","Kartoffel-Pfifferlingsauflauf mit Lauchstreifen und Kräaterkruste","20.7.2017"
"Bio;Vegetarian;Soup","Adlershof","4","Jouis Nour","Kohlrabicreme-Suppe mit Schnittlauch","20.7.2017"
"Bio","Adlershof","7","Jouis Nour","Klopse “Königsberger Art” mit Rote Beete und Kartoffelpüree","21.7.2017"
"Bio;Vegetarian","Adlershof","5.5","Jouis Nour","Bunte Gemüse-Schupfnudeln-Pfanne mit Pesto","21.7.2017"
"Bio;Vegan;Vegetarian","Adlershof","4","Jouis Nour","Blumenkohl-Süppchen mit gerösteten Haferflocken","21.7.2017"
"Bio","Adlershof","7.5","Jouis Nour","Schaschlik-Spieß mit ungarische, Letscho und Reis","24.7.2017"
"Bio;Vegetarian","Adlershof","5.9","Jouis Nour","Gebackene Rosmarin-Ofenkartoffeln mit Ratatouille-Gemüse und Paprika Schmand","24.7.2017"
"Bio;Vegan;Vegetarian;Soup","Adlershof","4","Jouis Nour","Paprika-Mais Suppe mit Sonnenblumenkerne","24.7.2017"
"Bio","Adlershof","7","Jouis Nour","Bratwurst auf Weinsauerkraut mit Petersilienkartoffeln und Kräutersenfsauce","25.7.2017"
"Bio;Vegetarian","Adlershof","5.9","Jouis Nour","Indische Gemüsepfanne mit Kichererbsenpüre und Joguhrt-Minz-Dip","25.7.2017"
"Bio;Vegetarian;Soup","Adlershof","4","Jouis Nour","Champignon-Cremesuppe mit frischen Kräutern","25.7.2017"
"Bio","Adlershof","7.5","Jouis Nour","Hausgemachtes Leber-Ragout mit Apfel an Kartoffelpüree und gerösteten Zwiebeln","26.7.2017"
"Bio;Vegetarian","Adlershof","5.9","Jouis Nour","Bandnudeln an Pfifferlingsrahm und Krischtomaten","26.7.2017"
"Bio;Vegetarian;Soup","Adlershof","4","Jouis Nour","Berliner Kartoffelsuppe mit Kräuterschmand","26.7.2017"
"Fish","Adlershof","7.9","Jouis Nour","Schollenfilet gedünstet in Dillrahm mit Kartoffeln und Gurkensalat","27.7.2017"
"Bio;Vegetarian","Adlershof","5.9","Jouis Nour","Mediterrane Gemüse-Lasagne mit einem Kräuter-Dip","27.7.2017"
"Bio;Vegetarian;Soup","Adlershof","4","Jouis Nour","Tomatencremesuppe mit Käse-Croutons","27.7.2017"
"Bio","Adlershof","7.5","Jouis Nour","Brandenburger Schmorkohl mit Hackfleisch und Petersilienkartoffeln","28.7.2017"
"Bio;Vegan;Vegetarian","Adlershof","6","Jouis Nour","Farfalle mit Tomaten-Oliven-Sauce und frischen Kräutern","27.7.2017"
"Bio;Vegetarian","Adlershof","4","Jouis Nour","Lauch-Rahmsüppchen mit Karotttenraspeln","27.7.2017"
"Vegetarian","Adlershof","","Esswirtschaft","Ragout von weißen Bohnen mit Süßkartoffeln in Korianderfond und Kresse","11.08.2017"
"Bio","Adlershof","7.5","Jouis Nour","Schnitzel mit Pfifferlings-Waldpilz-Rahmsauce, Kartoffelstampf und Tomatensalat","31.7.2017"
"Bio;Vegan;Vegetarian","Adlershof","5.5","Jouis Nour","Spaghettimit Gemüsebolognese und Sonnenblumenkernen","31.7.2017"
"Bio;Vegan;Vegetarian","Adlershof","4.5","Jouis Nour","Feuriger Paprikatopf mit Tofustückchen","31.7.2017"
"Bio;Soup","Adlershof","4.5","Jouis Nour","Thai-Gemüsesuppe mit Kokosmilch und Hähnchen","1.8.2017"
"Bio","Adlershof","7.5","Jouis Nour","Tafelspitz mit Meerrettichsauce und Fingermöhren an Salzkartoffeln","1.8.2017"
"Bio;Vegetarian","Adlershof","5.9","Jouis Nour","Griechischer Spinatauflauf mit Tzatziki und geröstetem Sesam","1.8.2017"
"Bio;Vegetarian;Soup","Adlershof","4","Jouis Nour","Spinatcremesuppe mit Tomatenwürfeln","2.8.2017"
"Bio","Adlershof","7.5","Jouis Nour","Pikanter Gulasch vom Schwein mit Waldpilzen und Salzkartoffeln","2.8.2017"
"Bio;Vegetarian","Adlershof","5.5","Jouis Nour","Pasta mit Gorgonzolasauce, Rucola und Kirschtomaten","2.8.2017"
"Bio;Vegan;Vegetarian;Soup","Adlershof","4","Jouis Nour","Rote Linsensuppe mit Paprikastreifen","3.8.2017"
"Fish","Adlershof","7.9","Jouis Nour","Gebratener Rotbarsch mit Senfsauce, Kartoffeln und Rahmgurken","3.8.2017"
"Bio","Adlershof","5.9","Jouis Nour","Polenta-Porree-Auflauf mit gerösteten Sonnenblumenkernen und Tomaten-Pesto","3.8.2017"
"Bio;Vegetarian","Adlershof","4","Jouis Nour","Kaltes Gurkensüppchen mit Tomaten-Kräuter-Pesto","4.8.2017"
"Bio","Adlershof","7","Jouis Nour","Geflügelbällchen mit Paprika-Tomaten-Gemüse und Kartoffelecken","4.8.2017"
"Bio;Vegetarian","Adlershof","5.5","Jouis Nour","Rahmspinat mit gekochten Eiern an Petersilienkartoffeln","4.8.2017"
"Bio;Vegan;Vegetarian;Soup","Adlershof","4","Jouis Nour","Fruchtige Kürbissuppe mit gerösteten Kürbiskernen","7.8.2017"
"Bio","Adlershof","7.5","Jouis Nour","Rindergeschnetzeltes in pikanter Pfeffersauce mit Langkornreis und frischen Kräutern","7.8.2017"
"Bio;Vegetarian","Adlershof","5.9","Jouis Nour","Bunte Gemüse-Gnocchipfanne an Kräuterrahm","7.8.2017"
"Bio;Vegetarian;Soup","Adlershof","4","Jouis Nour","Brokkolisuppe mit Tomatenwürfel und Sonnenblumenkernen","8.8.2017"
"Bio","Adlershof","7.5","Jouis Nour","Mini Grillhaxen mit Sellerie-Kartoffelpüree und Malzbiersauce","8.8.2017"
"Bio;Vegetarian","Adlershof","5.9","Jouis Nour","Orientalische Gemüse Cous Cous Pfanne mit Joghurt-Minz-Dip","8.8.2017"
"Bio;Vegan;Vegetarian","Adlershof","4","Jouis Nour","Kichererbsensüppchen mit frischen Kräutern","9.8.2017"
"Bio","Adlershof","7.5","Jouis Nour","Gebratene Hähnchenkeule mit Backkartoffeln, Sour Cream und Cole Slaw","9.8.2017"
"Bio;Vegetarian","Adlershof","5.9","Jouis Nour","Tagliatelle mit Pfifferling-Rahmsauce und Petersilienschmand","9.8.2017"
"Bio;Soup","Adlershof","5","Jouis Nour","Fleisch-Soljanka mit saurer Sahne und frischen Kräutern","10.8.2017"
"Fish","Adlershof","7.9","Jouis Nour","Kabeljau an Currygemüse mit Basmatireis und buntem Blattsalat","10.8.2017"
"Bio;Vegetarian","Adlershof","5.9","Jouis Nour","Spinat-Lasagne mit Frischkäsesauce","10.8.2017"
