"business","price","dish","ingredients","date","location"
"Albert","3.90","Kartoffel-Zucchini-Suppe mit Joghurt","Vegetarian;Soup","07.08.2017","Adlershof"
"Albert","5.00","Bunter Nudel-Gemüseauflauf mit Mozzarella","Vegetarian","07.08.2017","Adlershof"
"Albert","6.00","Paniertes Schollenfilet mit Remoulade & lauwarmen Kartoffel-Gurkensalat","","07.08.2017","Adlershof"
"Albert","3.90","Grüne Bohneneintopf mit Kasseler","","08.08.2017","Adlershof"
"Albert","5.00","Kohlrabi-Mangold-Curry mit Reis & Sprossen","Vegetarian","08.08.2017","Adlershof"
"Albert","5.80","Chili con Carne in der Weizentortilla","","08.08.2017","Adlershof"
"Albert","3.90","Karotten-Ingwer-Suppe mit Granatapfelkernen","Vegetarian;Soup","09.08.2017","Adlershof"
"Albert","5.00","Farfalle mit Bärlauchpesto, Tomatenragout & Parmesan","Vegetarian","09.08.2017","Adlershof"
"Albert","5.80","Gebratener Leberkäse mit Sauerkraut & Salzkartoffeln","","09.08.2017","Adlershof"
"Albert","3.90","Vietnamesische Gemüsesuppe mit Champignons, Ingwer & Koriander","Vegetarian;Soup","10.08.2017","Adlershof"
"Albert","5.00","Backkartoffel mit Kräuterquark & gemischtem Salat","Vegetarian","10.08.2017","Adlershof"
"Albert","5.80","Elsässer Hähnchenbrust mit Speck & Zwiebel überbacken, Schnittlauchsauce & Linguine","","10.08.2017","Adlershof"
"Albert","3.90","Currysuppe mit Papayawürfel","Vegetarian;Soup","11.08.2017","Adlershof"
"Albert","5.00","Spaghetti Bolognese vegetarisch mit Rucola","Vegetarian","11.08.2017","Adlershof"
"Albert","5.80","Bami Goreng mit Hähnchenbrust, Mie-Nudeln & Asiagemüse","","11.08.2017","Adlershof"
"Albert","7.00","Pflammkuchen: Akropolis“ mit Schmand, Gyros, Tzaziki & Zwiebelringe","Pflammkuchen","07.08.2017","Adlershof"
"Albert","7.00","Pflammkuchen: Akropolis“ mit Schmand, Gyros, Tzaziki & Zwiebelringe","Pflammkuchen","08.08.2017","Adlershof"
"Albert","7.00","Pflammkuchen: Akropolis“ mit Schmand, Gyros, Tzaziki & Zwiebelringe","Pflammkuchen","09.08.2017","Adlershof"
"Albert","7.00","Pflammkuchen: Akropolis“ mit Schmand, Gyros, Tzaziki & Zwiebelringe","Pflammkuchen","10.08.2017","Adlershof"
"Albert","7.00","Pflammkuchen: Akropolis“ mit Schmand, Gyros, Tzaziki & Zwiebelringe","Pflammkuchen","11.08.2017","Adlershof"
"Albert","5.50","Pflammkuchen: Klassisch mit Speck & Zwiebeln","Pflammkuchen","07.08.2017","Adlershof"
"Albert","5.50","Pflammkuchen: Klassisch mit Speck & Zwiebeln","Pflammkuchen","08.08.2017","Adlershof"
"Albert","5.50","Pflammkuchen: Klassisch mit Speck & Zwiebeln","Pflammkuchen","09.08.2017","Adlershof"
"Albert","5.50","Pflammkuchen: Klassisch mit Speck & Zwiebeln","Pflammkuchen","10.08.2017","Adlershof"
"Albert","5.50","Pflammkuchen: Klassisch mit Speck & Zwiebeln","Pflammkuchen","11.08.2017","Adlershof"
"Albert","5.50","Pflammkuchen: Mozzarella, Tomate & frischer Basilikum","Pflammkuchen","07.08.2017","Adlershof"
"Albert","5.50","Pflammkuchen: Mozzarella, Tomate & frischer Basilikum","Pflammkuchen","08.08.2017","Adlershof"
"Albert","5.50","Pflammkuchen: Mozzarella, Tomate & frischer Basilikum","Pflammkuchen","09.08.2017","Adlershof"
"Albert","5.50","Pflammkuchen: Mozzarella, Tomate & frischer Basilikum","Pflammkuchen","10.08.2017","Adlershof"
"Albert","5.50","Pflammkuchen: Mozzarella, Tomate & frischer Basilikum","Pflammkuchen","11.08.2017","Adlershof"
"Albert","6.00","Pflammkuchen: Rucola, Serranoschinken & Parmesan","Pflammkuchen","07.08.2017","Adlershof"
"Albert","6.00","Pflammkuchen: Rucola, Serranoschinken & Parmesan","Pflammkuchen","08.08.2017","Adlershof"
"Albert","6.00","Pflammkuchen: Rucola, Serranoschinken & Parmesan","Pflammkuchen","09.08.2017","Adlershof"
"Albert","6.00","Pflammkuchen: Rucola, Serranoschinken & Parmesan","Pflammkuchen","10.08.2017","Adlershof"
"Albert","6.00","Pflammkuchen: Rucola, Serranoschinken & Parmesan","Pflammkuchen","11.08.2017","Adlershof"
"Albert","6.00","Pflammkuchen: Thunfisch & Zwiebeln","Pflammkuchen;Fish","07.08.2017","Adlershof"
"Albert","6.00","Pflammkuchen: Thunfisch & Zwiebeln","Pflammkuchen;Fish","08.08.2017","Adlershof"
"business","price","dish","ingredients","date","location"
"Esswirtschaft","","Spaghetti Bolognese mit gehobeltem Parmesan","","07.08.2017","Adlershof"
"Esswirtschaft","","Spaghetti Bolognese mit gehobeltem Parmesan","","08.08.2017","Adlershof"
"Esswirtschaft","","Spaghetti Bolognese mit gehobeltem Parmesan","","09.08.2017","Adlershof"
"Esswirtschaft","","Spaghetti Bolognese mit gehobeltem Parmesan","","10.08.2017","Adlershof"
"Esswirtschaft","","Spaghetti Bolognese mit gehobeltem Parmesan","","11.08.2017","Adlershof"
"Esswirtschaft","","Griechischer Salat mit Tomaten, Gurken, Oliven, Zwiebeln und Schafskäse","","07.08.2017","Adlershof"
"Esswirtschaft","","Griechischer Salat mit Tomaten, Gurken, Oliven, Zwiebeln und Schafskäse","","08.08.2017","Adlershof"
"Esswirtschaft","","Griechischer Salat mit Tomaten, Gurken, Oliven, Zwiebeln und Schafskäse","","09.08.2017","Adlershof"
"Esswirtschaft","","Griechischer Salat mit Tomaten, Gurken, Oliven, Zwiebeln und Schafskäse","","10.08.2017","Adlershof"
"Esswirtschaft","","Griechischer Salat mit Tomaten, Gurken, Oliven, Zwiebeln und Schafskäse","","11.08.2017","Adlershof"
"Esswirtschaft","","Kartoffelsalat im Glas mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","","07.08.2017","Adlershof"
"Esswirtschaft","","Kartoffelsalat im Glas mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","","08.08.2017","Adlershof"
"Esswirtschaft","","Kartoffelsalat im Glas mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","","09.08.2017","Adlershof"
"Esswirtschaft","","Kartoffelsalat im Glas mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","","10.08.2017","Adlershof"
"Esswirtschaft","","Kartoffelsalat im Glas mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","","11.08.2017","Adlershof"
"Esswirtschaft","","Berliner Schmortopf mit Rindfleisch","","07.08.2017","Adlershof"
"Esswirtschaft","","Berliner Schmortopf mit Rindfleisch","","08.08.2017","Adlershof"
"Esswirtschaft","","Berliner Schmortopf mit Rindfleisch","","09.08.2017","Adlershof"
"Esswirtschaft","","Berliner Schmortopf mit Rindfleisch","","10.08.2017","Adlershof"
"Esswirtschaft","","Berliner Schmortopf mit Rindfleisch","","11.08.2017","Adlershof"
"Esswirtschaft","","Thailändische grüne Currysuppe mit Hühnchen","Soup","07.08.2017","Adlershof"
"Esswirtschaft","","Thailändische grüne Currysuppe mit Hühnchen","Soup","08.08.2017","Adlershof"
"Esswirtschaft","","Thailändische grüne Currysuppe mit Hühnchen","Soup","09.08.2017","Adlershof"
"Esswirtschaft","","Thailändische grüne Currysuppe mit Hühnchen","Soup","10.08.2017","Adlershof"
"Esswirtschaft","","Thailändische grüne Currysuppe mit Hühnchen","Soup","11.08.2017","Adlershof"
"Esswirtschaft","","Spinatsuppe mit Gnocchi","Soup","07.08.2017","Adlershof"
"Esswirtschaft","","Spinatsuppe mit Gnocchi","Soup","08.08.2017","Adlershof"
"Esswirtschaft","","Spinatsuppe mit Gnocchi","Soup","09.08.2017","Adlershof"
"Esswirtschaft","","Spinatsuppe mit Gnocchi","Soup","10.08.2017","Adlershof"
"Esswirtschaft","","Spinatsuppe mit Gnocchi","Soup","11.08.2017","Adlershof"
"Esswirtschaft","","Schweinefleisch süß-sauer mit Gemüse aus dem Wok, dazu Basmatireis","","07.08.2017","Adlershof"
"Esswirtschaft","","Gnocchi di Patate mit Pilzrahmsoße und Parmesan","Vegetarian","07.08.2017","Adlershof"
"Esswirtschaft","","Berliner Boulette mit Mischgemüse und Kartoffeln","","08.08.2017","Adlershof"
"Esswirtschaft","","Gemüsesalsa mit Pasta","Vegetarian","08.08.2017","Adlershof"
"Esswirtschaft","","Spies vom Schwein mit Paprika und Zwiebeln, dazu Reis","","09.08.2017","Adlershof"
"Esswirtschaft","","Nudelrisotto mit Erbsen und Schmelztomaten","Vegetarian","09.08.2017","Adlershof"
"Esswirtschaft","","Geschmortes Ochsenbäckchen mit Kartoffelpüree und Röstzwiebeln","","10.08.2017","Adlershof"
"Esswirtschaft","","Tamilisches Karottencurry mit Joghurt, Koriander und Pappadums","Vegetarian","10.08.2017","Adlershof"
"Esswirtschaft","","Buntbarsch auf Brokkolireis, dazu Zitronenlassi","","11.08.2017","Adlershof"
"business","price","dish","ingredients","date","location"
"Jouis Nour","7.5","Puten-Tagliatelle mit Limettensauce und buntem Sommersalat","Bio","14.7.2017","Adlershof"
"Jouis Nour","5.9","Gemüse-Paella á la Jouis Nour mit frischem Gemüse und Joghurt-Dip","Bio;Vegetarian","14.7.2017","Adlershof"
"Jouis Nour","4.5","Zucchinicremesuppe mit gerösteten Haferflocken","Bio;Vegetarian;Soup","14.7.2017","Adlershof"
"Jouis Nour","7.5","Gebratene Hähnchenkeule mit Backkartoffeln an Knackigem Krautsalat und Salsa-Dip","Bio","17.7.2017","Adlershof"
"Jouis Nour","5.9","Buntes Spirelli-Brokkoli-Gratin mit Grünkern und Tomatensauce","Bio;Vegetarian","17.7.2017","Adlershof"
"Jouis Nour","4.5","Zucchinicremesuppe mit gerösteten Haferflocken","Bio;Vegetarian;Soup","17.7.2017","Adlershof"
"Jouis Nour","7.5","Griechischer Hackfleisch-Auflauf mit Bohnen und Fetakäse an Kräauterquark","Bio","18.7.2017","Adlershof"
