"dish","date","price","ingredients","location","business"
"Spreewälder Möhreneintopf mit Meerrettich","14.08.2017","3.90","Vegetarian","Adlershof","Albert"
"Gnocchis mit Rucola-Käsesauce & rosa Pfefferbeeren","14.08.2017","5.00","Vegetarian","Adlershof","Albert"
"Szegediner Gulasch mit Salzkartoffeln","14.08.2017","5.80","","Adlershof","Albert"
"Tomaten-Paprikasuppe mit Aprikosen & Basilikum","15.08.2017","3.90","Soup;Vegetarian","Adlershof","Albert"
"Sellerie-Schnitzel mit Schnittlauchsauce & Kartoffelstampf","15.08.2017","5.00","Vegetarian","Adlershof","Albert"
"Hähnchenbrustschnitzel „Caprese“ mit Tomate & Mozzarellaüberbacken auf Spaghetti, Tomatensauce & Basilikumpesto","15.08.2017","5.80","","Adlershof","Albert"
"Blumenkohlcremesuppe mit Kresse","16.08.2017","3.90","Soup;Vegetarian","Adlershof","Albert"
"Spanische Pasta mit Paprika, Rosinen & Mandeln","16.08.2017","5.00","Vegetarian","Adlershof","Albert"
"Hühnerfrikassee mit Erbsen-Karottengemüse & Reis","16.08.2017","5.70","","Adlershof","Albert"
"Weißkohleintopf mit Cabanossi","17.08.2017","3.90","","Adlershof","Albert"
"Vegetarisches Chili mit Tomatenreis","17.08.2017","5.00","Vegetarian","Adlershof","Albert"
"Geschnetzeltes „ Stroganoff Art“ mit Champignons & Spätzle","17.08.2017","5.80","","Adlershof","Albert"
"Mexikanische Tacosuppe","18.08.2017","3.90","Soup","Adlershof","Albert"
"Spaghetti „Aglio Olio“ mit Peperoncini, Rucola & Parmesan","18.08.2017","5.00","Vegetarian","Adlershof","Albert"
"Hackbraten mit Buttererbsen & Kartoffelstampf","18.08.2017","5.80","","Adlershof","Albert"
"Pflammkuchen: „Akropolis“ mit Schmand, Gyros, Tzaziki & Zwiebelringe","14.08.2017","7.00","Pflammkuchen","Adlershof","Albert"
"Pflammkuchen: „Akropolis“ mit Schmand, Gyros, Tzaziki & Zwiebelringe","15.08.2017","7.00","Pflammkuchen","Adlershof","Albert"
"Pflammkuchen: „Akropolis“ mit Schmand, Gyros, Tzaziki & Zwiebelringe","16.08.2017","7.00","Pflammkuchen","Adlershof","Albert"
"Pflammkuchen: „Akropolis“ mit Schmand, Gyros, Tzaziki & Zwiebelringe","17.08.2017","7.00","Pflammkuchen","Adlershof","Albert"
"Pflammkuchen: „Akropolis“ mit Schmand, Gyros, Tzaziki & Zwiebelringe","18.08.2017","7.00","Pflammkuchen","Adlershof","Albert"
"Pflammkuchen: Klassisch mit Speck & Zwiebeln","14.08.2017","5.50","Pflammkuchen","Adlershof","Albert"
"Pflammkuchen: Klassisch mit Speck & Zwiebeln","15.08.2017","5.50","Pflammkuchen","Adlershof","Albert"
"Pflammkuchen: Klassisch mit Speck & Zwiebeln","16.08.2017","5.50","Pflammkuchen","Adlershof","Albert"
"Pflammkuchen: Klassisch mit Speck & Zwiebeln","17.08.2017","5.50","Pflammkuchen","Adlershof","Albert"
"Pflammkuchen: Klassisch mit Speck & Zwiebeln","18.08.2017","5.50","Pflammkuchen","Adlershof","Albert"
"Pflammkuchen: Mozzarella, Tomate & frischer Basilikum","14.08.2017","5.50","Pflammkuchen","Adlershof","Albert"
"Pflammkuchen: Mozzarella, Tomate & frischer Basilikum","15.08.2017","5.50","Pflammkuchen","Adlershof","Albert"
"Pflammkuchen: Mozzarella, Tomate & frischer Basilikum","16.08.2017","5.50","Pflammkuchen","Adlershof","Albert"
"Pflammkuchen: Mozzarella, Tomate & frischer Basilikum","17.08.2017","5.50","Pflammkuchen","Adlershof","Albert"
"Pflammkuchen: Mozzarella, Tomate & frischer Basilikum","18.08.2017","5.50","Pflammkuchen","Adlershof","Albert"
"Pflammkuchen: Rucola, Serranoschinken & Parmesan","14.08.2017","6.00","Pflammkuchen","Adlershof","Albert"
"Pflammkuchen: Rucola, Serranoschinken & Parmesan","15.08.2017","6.00","Pflammkuchen","Adlershof","Albert"
"Pflammkuchen: Rucola, Serranoschinken & Parmesan","16.08.2017","6.00","Pflammkuchen","Adlershof","Albert"
"Pflammkuchen: Rucola, Serranoschinken & Parmesan","17.08.2017","6.00","Pflammkuchen","Adlershof","Albert"
"Pflammkuchen: Rucola, Serranoschinken & Parmesan","18.08.2017","6.00","Pflammkuchen","Adlershof","Albert"
"Pflammkuchen: Thunfisch & Zwiebeln","14.08.2017","6.00","Pflammkuchen;Fish","Adlershof","Albert"
"Pflammkuchen: Thunfisch & Zwiebeln","15.08.2017","6.00","Pflammkuchen;Fish","Adlershof","Albert"
"dish","date","price","ingredients","location","business"
"Rotes Curry vom Huhn mit Paprika und Zucchini, dazu Reis","14.08.2017","","","Adlershof","Esswirtschaft"
"Rotes Curry vom Huhn mit Paprika und Zucchini, dazu Reis","15.08.2017","","","Adlershof","Esswirtschaft"
"Rotes Curry vom Huhn mit Paprika und Zucchini, dazu Reis","16.08.2017","","","Adlershof","Esswirtschaft"
"Rotes Curry vom Huhn mit Paprika und Zucchini, dazu Reis","17.08.2017","","","Adlershof","Esswirtschaft"
"Rotes Curry vom Huhn mit Paprika und Zucchini, dazu Reis","18.08.2017","","","Adlershof","Esswirtschaft"
"Salatherzen mit Ceasar Dressing und gebratener Hähnchenbrust","14.08.2017","","","Adlershof","Esswirtschaft"
"Salatherzen mit Ceasar Dressing und gebratener Hähnchenbrust","15.08.2017","","","Adlershof","Esswirtschaft"
"Salatherzen mit Ceasar Dressing und gebratener Hähnchenbrust","16.08.2017","","","Adlershof","Esswirtschaft"
"Salatherzen mit Ceasar Dressing und gebratener Hähnchenbrust","17.08.2017","","","Adlershof","Esswirtschaft"
"Salatherzen mit Ceasar Dressing und gebratener Hähnchenbrust","18.08.2017","","","Adlershof","Esswirtschaft"
