"date","ingredients","price","location","dish","business"
"14.08.2017","Soup;Vegan;Vegetarian","4.60","Adlershof","Arabische Gelbe-Linsen-Suppe mit Karotten undKokos (Vegan)","Die Loeffelei"
"14.08.2017","Soup;Vegetarian","4.60","Adlershof","Zucchinicremesuppe mit Getrockneten Tomaten(Veget)","Die Loeffelei"
"14.08.2017","","4.80","Adlershof","Sauerkrauteintopf mit Ajvar und Hackfleich","Die Loeffelei"
"15.08.2017","Vegan;Vegetarian","4.60","Adlershof","Spiral-Nudelneintopf mit Gemüse(Vegan/Veget)","Die Loeffelei"
"15.08.2017","","4.80","Adlershof","Kartoffelgulasch mit Paprika und Würsten","Die Loeffelei"
"16.08.2017","Soup;Vegan;Vegetarian","4.60","Adlershof","Asiatische Nudelsuppe mit Ingwer, Chili,Koriander und Geröst. Sesam (Vegan)","Die Loeffelei"
"16.08.2017","Soup;Vegetarian","4.60","Adlershof","Süßkartoffel-Zucchini-Suppe mit Parmesan(Veget)","Die Loeffelei"
"16.08.2017","","4.80","Adlershof","Ungarischer Paprikaeintopf mit Kartoffeln undCabanossi","Die Loeffelei"
"17.08.2017","Soup;Vegan;Vegetarian","4.60","Adlershof","Kürbis-Spinat-Suppe mit Mandel-Bulgur (Vegan)","Die Loeffelei"
"17.08.2017","Soup;Vegetarian","4.60","Adlershof","Rote Linsensuppe mit Suppengemüse, Joghurtund Feta (Veget)","Die Loeffelei"
"17.08.2017","","4.80","Adlershof","Hänchen Chili mit Kidney Bohnen und ErdnussButter","Die Loeffelei"
"18.08.2017","Soup;Vegan;Vegetarian","4.60","Adlershof","Indische Mung-Dal-Suppe mit Linsen, Ingwer,Curry, Aprikosen, Kokos und Koriander (Vegan)","Die Loeffelei"
"18.08.2017","Dessert;Vegetarian","3.80","Adlershof","Milchreis mit heißenkirschen oder Apfelmus undZimt zucker (Veget)","Die Loeffelei"
"18.08.2017","Soup","4.80","Adlershof","KartoffelSuppe mit Majoran und WienerWürstchen","Die Loeffelei"
