"location","price","dish","ingredients","date","business"
"Adlershof","3.90","Spreewälder Möhreneintopf mit Meerrettich","Vegetarian","14.08.2017","Albert"
"Adlershof","5.00","Gnocchis mit Rucola-Käsesauce & rosa Pfefferbeeren","Vegetarian","14.08.2017","Albert"
"Adlershof","5.80","Szegediner Gulasch mit Salzkartoffeln","","14.08.2017","Albert"
"Adlershof","3.90","Tomaten-Paprikasuppe mit Aprikosen & Basilikum","Soup;Vegetarian","15.08.2017","Albert"
"Adlershof","5.00","Sellerie-Schnitzel mit Schnittlauchsauce & Kartoffelstampf","Vegetarian","15.08.2017","Albert"
"Adlershof","5.80","Hähnchenbrustschnitzel „Caprese“ mit Tomate & Mozzarellaüberbacken auf Spaghetti, Tomatensauce & Basilikumpesto","","15.08.2017","Albert"
"Adlershof","3.90","Blumenkohlcremesuppe mit Kresse","Soup;Vegetarian","16.08.2017","Albert"
"Adlershof","5.00","Spanische Pasta mit Paprika, Rosinen & Mandeln","Vegetarian","16.08.2017","Albert"
"Adlershof","5.70","Hühnerfrikassee mit Erbsen-Karottengemüse & Reis","","16.08.2017","Albert"
"Adlershof","3.90","Weißkohleintopf mit Cabanossi","","17.08.2017","Albert"
"Adlershof","5.00","Vegetarisches Chili mit Tomatenreis","Vegetarian","17.08.2017","Albert"
"Adlershof","5.80","Geschnetzeltes „ Stroganoff Art“ mit Champignons & Spätzle","","17.08.2017","Albert"
"Adlershof","3.90","Mexikanische Tacosuppe","Soup","18.08.2017","Albert"
"Adlershof","5.00","Spaghetti „Aglio Olio“ mit Peperoncini, Rucola & Parmesan","Vegetarian","18.08.2017","Albert"
"Adlershof","5.80","Hackbraten mit Buttererbsen & Kartoffelstampf","","18.08.2017","Albert"
"Adlershof","7.00","Flammkuchen: „Akropolis“ mit Schmand, Gyros, Tzaziki & Zwiebelringe","Flammkuchen","14.08.2017","Albert"
"Adlershof","7.00","Flammkuchen: „Akropolis“ mit Schmand, Gyros, Tzaziki & Zwiebelringe","Flammkuchen","15.08.2017","Albert"
"Adlershof","7.00","Flammkuchen: „Akropolis“ mit Schmand, Gyros, Tzaziki & Zwiebelringe","Flammkuchen","16.08.2017","Albert"
"Adlershof","7.00","Flammkuchen: „Akropolis“ mit Schmand, Gyros, Tzaziki & Zwiebelringe","Flammkuchen","17.08.2017","Albert"
"Adlershof","7.00","Flammkuchen: „Akropolis“ mit Schmand, Gyros, Tzaziki & Zwiebelringe","Flammkuchen","18.08.2017","Albert"
"Adlershof","5.50","Flammkuchen: Klassisch mit Speck & Zwiebeln","Flammkuchen","14.08.2017","Albert"
"Adlershof","5.50","Flammkuchen: Klassisch mit Speck & Zwiebeln","Flammkuchen","15.08.2017","Albert"
"Adlershof","5.50","Flammkuchen: Klassisch mit Speck & Zwiebeln","Flammkuchen","16.08.2017","Albert"
"Adlershof","5.50","Flammkuchen: Klassisch mit Speck & Zwiebeln","Flammkuchen","17.08.2017","Albert"
"Adlershof","5.50","Flammkuchen: Klassisch mit Speck & Zwiebeln","Flammkuchen","18.08.2017","Albert"
"Adlershof","5.50","Flammkuchen: Mozzarella, Tomate & frischer Basilikum","Flammkuchen","14.08.2017","Albert"
"Adlershof","5.50","Flammkuchen: Mozzarella, Tomate & frischer Basilikum","Flammkuchen","15.08.2017","Albert"
"Adlershof","5.50","Flammkuchen: Mozzarella, Tomate & frischer Basilikum","Flammkuchen","16.08.2017","Albert"
"Adlershof","5.50","Flammkuchen: Mozzarella, Tomate & frischer Basilikum","Flammkuchen","17.08.2017","Albert"
"Adlershof","5.50","Flammkuchen: Mozzarella, Tomate & frischer Basilikum","Flammkuchen","18.08.2017","Albert"
"Adlershof","6.00","Flammkuchen: Rucola, Serranoschinken & Parmesan","Flammkuchen","14.08.2017","Albert"
"Adlershof","6.00","Flammkuchen: Rucola, Serranoschinken & Parmesan","Flammkuchen","15.08.2017","Albert"
"Adlershof","6.00","Flammkuchen: Rucola, Serranoschinken & Parmesan","Flammkuchen","16.08.2017","Albert"
"Adlershof","6.00","Flammkuchen: Rucola, Serranoschinken & Parmesan","Flammkuchen","17.08.2017","Albert"
"Adlershof","6.00","Flammkuchen: Rucola, Serranoschinken & Parmesan","Flammkuchen","18.08.2017","Albert"
"Adlershof","6.00","Flammkuchen: Thunfisch & Zwiebeln","Fish;Flammkuchen","14.08.2017","Albert"
"Adlershof","6.00","Flammkuchen: Thunfisch & Zwiebeln","Fish;Flammkuchen","15.08.2017","Albert"
"location","price","dish","ingredients","date","business"
"Adlershof","","Rotes Curry vom Huhn mit Paprika und Zucchini, dazu Reis","","14.08.2017","Esswirtschaft"
"Adlershof","","Rotes Curry vom Huhn mit Paprika und Zucchini, dazu Reis","","15.08.2017","Esswirtschaft"
"Adlershof","","Rotes Curry vom Huhn mit Paprika und Zucchini, dazu Reis","","16.08.2017","Esswirtschaft"
"Adlershof","","Rotes Curry vom Huhn mit Paprika und Zucchini, dazu Reis","","17.08.2017","Esswirtschaft"
"Adlershof","","Rotes Curry vom Huhn mit Paprika und Zucchini, dazu Reis","","18.08.2017","Esswirtschaft"
"Adlershof","","Salatherzen mit Ceasar Dressing und gebratener Hähnchenbrust","","14.08.2017","Esswirtschaft"
"Adlershof","","Salatherzen mit Ceasar Dressing und gebratener Hähnchenbrust","","15.08.2017","Esswirtschaft"
"Adlershof","","Salatherzen mit Ceasar Dressing und gebratener Hähnchenbrust","","16.08.2017","Esswirtschaft"
"Adlershof","","Salatherzen mit Ceasar Dressing und gebratener Hähnchenbrust","","17.08.2017","Esswirtschaft"
"Adlershof","","Salatherzen mit Ceasar Dressing und gebratener Hähnchenbrust","","18.08.2017","Esswirtschaft"
"Adlershof","","Quinoasalat im Glas mit Rotkohl, Datteln, Gemüsezwiebeln und Sanddorn-Dressing","Vegetarian;Vegan","14.08.2017","Esswirtschaft"
"Adlershof","","Quinoasalat im Glas mit Rotkohl, Datteln, Gemüsezwiebeln und Sanddorn-Dressing","Vegetarian;Vegan","15.08.2017","Esswirtschaft"
"Adlershof","","Quinoasalat im Glas mit Rotkohl, Datteln, Gemüsezwiebeln und Sanddorn-Dressing","Vegetarian;Vegan","16.08.2017","Esswirtschaft"
"Adlershof","","Quinoasalat im Glas mit Rotkohl, Datteln, Gemüsezwiebeln und Sanddorn-Dressing","Vegetarian;Vegan","17.08.2017","Esswirtschaft"
"Adlershof","","Quinoasalat im Glas mit Rotkohl, Datteln, Gemüsezwiebeln und Sanddorn-Dressing","Vegetarian;Vegan","18.08.2017","Esswirtschaft"
"Adlershof","","Süßbataten-Kokoscreme mit mariniertem Rindfleisch","","14.08.2017","Esswirtschaft"
"Adlershof","","Süßbataten-Kokoscreme mit mariniertem Rindfleisch","","15.08.2017","Esswirtschaft"
"Adlershof","","Süßbataten-Kokoscreme mit mariniertem Rindfleisch","","16.08.2017","Esswirtschaft"
"Adlershof","","Süßbataten-Kokoscreme mit mariniertem Rindfleisch","","17.08.2017","Esswirtschaft"
"Adlershof","","Süßbataten-Kokoscreme mit mariniertem Rindfleisch","","18.08.2017","Esswirtschaft"
"Adlershof","","Griechischer Gyrostopf mit Zwiebeln","","14.08.2017","Esswirtschaft"
"Adlershof","","Griechischer Gyrostopf mit Zwiebeln","","15.08.2017","Esswirtschaft"
"Adlershof","","Griechischer Gyrostopf mit Zwiebeln","","16.08.2017","Esswirtschaft"
"Adlershof","","Griechischer Gyrostopf mit Zwiebeln","","17.08.2017","Esswirtschaft"
"Adlershof","","Griechischer Gyrostopf mit Zwiebeln","","18.08.2017","Esswirtschaft"
"Adlershof","","Bio-Kartoffelcreme mit Fenchel","","14.08.2017","Esswirtschaft"
"Adlershof","","Bio-Kartoffelcreme mit Fenchel","","15.08.2017","Esswirtschaft"
"Adlershof","","Bio-Kartoffelcreme mit Fenchel","","16.08.2017","Esswirtschaft"
"Adlershof","","Bio-Kartoffelcreme mit Fenchel","","17.08.2017","Esswirtschaft"
"Adlershof","","Bio-Kartoffelcreme mit Fenchel","","18.08.2017","Esswirtschaft"
"Adlershof","","Krautfleckerl mit Spitzkohl, Nudelblättern und Hackfleisch Topping","","14.08.2017","Esswirtschaft"
"Adlershof","","Brokkoli-Kartoffel-Gratin mit Kräuterquark","Vegetarian","14.08.2017","Esswirtschaft"
"Adlershof","","Beamtenstippe mit Markerbsen, dazu Salzkartoffeln","","15.08.2017","Esswirtschaft"
"Adlershof","","Penne Rigate mit Basilikumpesto, Parmesan und frittiertem Rucola","Vegetarian","15.08.2017","Esswirtschaft"
"Adlershof","","Quinoa Pfanne mit Hähnchenbrust und Kokosraspel","","16.08.2017","Esswirtschaft"
"Adlershof","","Schupfnudelpfanne mit Gemüse und frittiertem Rucola","Vegetarian","16.08.2017","Esswirtschaft"
"Adlershof","","Rinderroulade mit Speck und Gurke auf Rahmwirsing, dazu Kartoffelpüree","","17.08.2017","Esswirtschaft"
"location","price","dish","ingredients","date","business"
"Adlershof","7.5","Puten-Tagliatelle mit Limettensauce und buntem Sommersalat","Bio","14.7.2017","Jouis Nour"
"Adlershof","5.9","Gemüse-Paella á la Jouis Nour mit frischem Gemüse und Joghurt-Dip","Bio;Vegetarian","14.7.2017","Jouis Nour"
"Adlershof","4.5","Zucchinicremesuppe mit gerösteten Haferflocken","Soup;Bio;Vegetarian","14.7.2017","Jouis Nour"
"Adlershof","7.5","Gebratene Hähnchenkeule mit Backkartoffeln an Knackigem Krautsalat und Salsa-Dip","Bio","17.7.2017","Jouis Nour"
