"business","location","ingredients","date","dish","price"
"La Petite","Adlershof","","21.08.2017","Salatteller mit frischem buntem Gartensalat wahlweise mit Sweet Chili Chicken","5,90"
"La Petite","Adlershof","","22.08.2017","Salatteller mit frischem buntem Gartensalat wahlweise mit Sweet Chili Chicken","5,90"
"La Petite","Adlershof","","23.08.2017","Salatteller mit frischem buntem Gartensalat wahlweise mit Sweet Chili Chicken","5,90"
"La Petite","Adlershof","","24.08.2017","Salatteller mit frischem buntem Gartensalat wahlweise mit Sweet Chili Chicken","5,90"
"La Petite","Adlershof","","25.08.2017","Salatteller mit frischem buntem Gartensalat wahlweise mit Sweet Chili Chicken","5,90"
"La Petite","Adlershof","Vegetarian","21.08.2017","Red Thai Curry mit asiatischem Gemüse, Zitronengras wahlweise mit Chicken oder Vegetarisch auf Basmatireis","6,20"
"La Petite","Adlershof","Vegetarian","22.08.2017","Red Thai Curry mit asiatischem Gemüse, Zitronengras wahlweise mit Chicken oder Vegetarisch auf Basmatireis","6,20"
"La Petite","Adlershof","Vegetarian","23.08.2017","Red Thai Curry mit asiatischem Gemüse, Zitronengras wahlweise mit Chicken oder Vegetarisch auf Basmatireis","6,20"
"La Petite","Adlershof","Vegetarian","24.08.2017","Red Thai Curry mit asiatischem Gemüse, Zitronengras wahlweise mit Chicken oder Vegetarisch auf Basmatireis","6,20"
"La Petite","Adlershof","Vegetarian","25.08.2017","Red Thai Curry mit asiatischem Gemüse, Zitronengras wahlweise mit Chicken oder Vegetarisch auf Basmatireis","6,20"
"La Petite","Adlershof","","21.08.2017","Paniertes Schweineschnitzel mit ChampignonRahmsauce, dazu Petersilienkartoffeln + Salatbeilage der Saison","6,50"
"La Petite","Adlershof","","22.08.2017","Paniertes Schweineschnitzel mit ChampignonRahmsauce, dazu Petersilienkartoffeln + Salatbeilage der Saison","6,50"
"La Petite","Adlershof","","23.08.2017","Paniertes Schweineschnitzel mit ChampignonRahmsauce, dazu Petersilienkartoffeln + Salatbeilage der Saison","6,50"
