"ingredients","business","dish","price","location","date"
"","La Petite","Salatteller mit frischem buntem Gartensalat wahlweise mit Sweet Chili Chicken","5,90","Adlershof","2017-09-11 00:00:00"
"","La Petite","Salatteller mit frischem buntem Gartensalat wahlweise mit Sweet Chili Chicken","5,90","Adlershof","2017-09-12 00:00:00"
"","La Petite","Salatteller mit frischem buntem Gartensalat wahlweise mit Sweet Chili Chicken","5,90","Adlershof","2017-09-13 00:00:00"
"","La Petite","Salatteller mit frischem buntem Gartensalat wahlweise mit Sweet Chili Chicken","5,90","Adlershof","2017-09-14 00:00:00"
"","La Petite","Salatteller mit frischem buntem Gartensalat wahlweise mit Sweet Chili Chicken","5,90","Adlershof","2017-09-15 00:00:00"
"Vegetarian","La Petite","Red Thai Curry mit asiatischem Gemüse, Zitronengras wahlweise mit Chicken oder Vegetarisch auf Basmatireis","6,20","Adlershof","2017-09-11 00:00:00"
"Vegetarian","La Petite","Red Thai Curry mit asiatischem Gemüse, Zitronengras wahlweise mit Chicken oder Vegetarisch auf Basmatireis","6,20","Adlershof","2017-09-12 00:00:00"
"Vegetarian","La Petite","Red Thai Curry mit asiatischem Gemüse, Zitronengras wahlweise mit Chicken oder Vegetarisch auf Basmatireis","6,20","Adlershof","2017-09-13 00:00:00"
"Vegetarian","La Petite","Red Thai Curry mit asiatischem Gemüse, Zitronengras wahlweise mit Chicken oder Vegetarisch auf Basmatireis","6,20","Adlershof","2017-09-14 00:00:00"
"Vegetarian","La Petite","Red Thai Curry mit asiatischem Gemüse, Zitronengras wahlweise mit Chicken oder Vegetarisch auf Basmatireis","6,20","Adlershof","2017-09-15 00:00:00"
"","La Petite","Paniertes Schweineschnitzel mit ChampignonRahmsauce, dazu Petersilienkartoffeln + Salatbeilage der Saison","6,50","Adlershof","2017-09-11 00:00:00"
"","La Petite","Paniertes Schweineschnitzel mit ChampignonRahmsauce, dazu Petersilienkartoffeln + Salatbeilage der Saison","6,50","Adlershof","2017-09-12 00:00:00"
"","La Petite","Paniertes Schweineschnitzel mit ChampignonRahmsauce, dazu Petersilienkartoffeln + Salatbeilage der Saison","6,50","Adlershof","2017-09-13 00:00:00"
"","La Petite","Paniertes Schweineschnitzel mit ChampignonRahmsauce, dazu Petersilienkartoffeln + Salatbeilage der Saison","6,50","Adlershof","2017-09-14 00:00:00"
"","La Petite","Paniertes Schweineschnitzel mit ChampignonRahmsauce, dazu Petersilienkartoffeln + Salatbeilage der Saison","6,50","Adlershof","2017-09-15 00:00:00"
"","La Petite","Studio CurryWurst mit Spezialsauce, dazu Kartoffel.oder Nudelsalat","4,90","Adlershof","2017-09-11 00:00:00"
"","La Petite","Studio CurryWurst mit Spezialsauce, dazu Kartoffel.oder Nudelsalat","4,90","Adlershof","2017-09-12 00:00:00"
"","La Petite","Studio CurryWurst mit Spezialsauce, dazu Kartoffel.oder Nudelsalat","4,90","Adlershof","2017-09-13 00:00:00"
"","La Petite","Studio CurryWurst mit Spezialsauce, dazu Kartoffel.oder Nudelsalat","4,90","Adlershof","2017-09-14 00:00:00"
"","La Petite","Studio CurryWurst mit Spezialsauce, dazu Kartoffel.oder Nudelsalat","4,90","Adlershof","2017-09-15 00:00:00"
"","La Petite","ChickenBurger mit saftigem KrispyChicken vom Grill, hausgemachter Majonäse, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat","6,60","Adlershof","2017-09-11 00:00:00"
"","La Petite","ChickenBurger mit saftigem KrispyChicken vom Grill, hausgemachter Majonäse, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat","6,60","Adlershof","2017-09-12 00:00:00"
"","La Petite","ChickenBurger mit saftigem KrispyChicken vom Grill, hausgemachter Majonäse, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat","6,60","Adlershof","2017-09-13 00:00:00"
"","La Petite","ChickenBurger mit saftigem KrispyChicken vom Grill, hausgemachter Majonäse, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat","6,60","Adlershof","2017-09-14 00:00:00"
"ingredients","business","dish","price","location","date"
"Soup","Suppencult","Soljanka mit Kassler, Kartoffeln, Tomaten, Paprika, sauren Gurken, Sahne und frischer Petersilie","4,70","Alexanderplatz","2017-09-11 00:00:00"
"Soup","Suppencult","Soljanka mit Kassler, Kartoffeln, Tomaten, Paprika, sauren Gurken, Sahne und frischer Petersilie","4,70","Alexanderplatz","2017-09-12 00:00:00"
"Soup","Suppencult","Soljanka mit Kassler, Kartoffeln, Tomaten, Paprika, sauren Gurken, Sahne und frischer Petersilie","4,70","Alexanderplatz","2017-09-13 00:00:00"
"Soup","Suppencult","Soljanka mit Kassler, Kartoffeln, Tomaten, Paprika, sauren Gurken, Sahne und frischer Petersilie","4,70","Alexanderplatz","2017-09-14 00:00:00"
"Soup","Suppencult","Soljanka mit Kassler, Kartoffeln, Tomaten, Paprika, sauren Gurken, Sahne und frischer Petersilie","4,70","Alexanderplatz","2017-09-15 00:00:00"
"Soup","Suppencult","Mitternachtssuppe mit Hackfleisch, Kartoffeln, Sauerkraut, Tomaten, sauren Gurken, einer hausgemachten Knoblauchmayonnaise und frischer Petersilie","4,40","Alexanderplatz","2017-09-11 00:00:00"
