price,date,dish,business
"4,70 €",26.06.2017,"Kassler Eintopf mit Kartoffeln, Sauerkraut, Ananas, Sahne und frischem Schnittlauch",suppencult
"4,70 €",27.06.2017,"Kassler Eintopf mit Kartoffeln, Sauerkraut, Ananas, Sahne und frischem Schnittlauch",suppencult
"4,70 €",28.06.2017,"Kassler Eintopf mit Kartoffeln, Sauerkraut, Ananas, Sahne und frischem Schnittlauch",suppencult
"4,70 €",29.06.2017,"Kassler Eintopf mit Kartoffeln, Sauerkraut, Ananas, Sahne und frischem Schnittlauch",suppencult
"4,70 €",30.06.2017,"Kassler Eintopf mit Kartoffeln, Sauerkraut, Ananas, Sahne und frischem Schnittlauch",suppencult
"4,40 €",26.06.2017,"Chili con Carne mit Kidney Bohnen, Tomaten, Paprika, Crème fraiche und frischer Petersilie",suppencult
"4,40 €",27.06.2017,"Chili con Carne mit Kidney Bohnen, Tomaten, Paprika, Crème fraiche und frischer Petersilie",suppencult
"4,40 €",28.06.2017,"Chili con Carne mit Kidney Bohnen, Tomaten, Paprika, Crème fraiche und frischer Petersilie",suppencult
"4,40 €",29.06.2017,"Chili con Carne mit Kidney Bohnen, Tomaten, Paprika, Crème fraiche und frischer Petersilie",suppencult
"4,40 €",30.06.2017,"Chili con Carne mit Kidney Bohnen, Tomaten, Paprika, Crème fraiche und frischer Petersilie",suppencult
"4,30 €",26.06.2017,"Exotische Curry - Hühnercrème mit Reis, Kokosmilch, Äpfel, Ananas, Bananen, Chili und Sahne",suppencult
"4,30 €",27.06.2017,"Exotische Curry - Hühnercrème mit Reis, Kokosmilch, Äpfel, Ananas, Bananen, Chili und Sahne",suppencult
"4,30 €",28.06.2017,"Exotische Curry - Hühnercrème mit Reis, Kokosmilch, Äpfel, Ananas, Bananen, Chili und Sahne",suppencult
"4,30 €",29.06.2017,"Exotische Curry - Hühnercrème mit Reis, Kokosmilch, Äpfel, Ananas, Bananen, Chili und Sahne",suppencult
"4,30 €",30.06.2017,"Exotische Curry - Hühnercrème mit Reis, Kokosmilch, Äpfel, Ananas, Bananen, Chili und Sahne",suppencult
"4,30 €",26.06.2017,"Fischsuppe mit Seelachsfilet, Pennenudeln, Fenchel, Crème fraiche und frischem Dill",suppencult
"4,30 €",27.06.2017,"Fischsuppe mit Seelachsfilet, Pennenudeln, Fenchel, Crème fraiche und frischem Dill",suppencult
"4,30 €",28.06.2017,"Fischsuppe mit Seelachsfilet, Pennenudeln, Fenchel, Crème fraiche und frischem Dill",suppencult
