dish,price,business,date
Kartoffelsuppe mit Wiener Würstchen & 1 Brötchen,4.00,sonnenschein,07.07.2017
"Putenroulade mit Hühnerhack-Pesto Füllung, Nudeln, Kräuterrahmsauce",6.00,sonnenschein,07.07.2017
"Ei in Hackmantel, Buttererbsen, Kartoffeln, Kräuterrahmsauce",5.90,sonnenschein,07.07.2017
"Leberkäse, Spiegelei, grüne Bohnen, Kartoffeln, Del.sauce",5.90,sonnenschein,07.07.2017
"Schupfnudeln mit getrocknete Tomaten, Frische Basilikum, Salat (vegetarisch)",5.00,sonnenschein,07.07.2017
dish,price,business,date
"Kalbsfrikassee mit jungen Erbsen, Kapern und Reis",,esswirtschaft,03.07.2017
"Kalbsfrikassee mit jungen Erbsen, Kapern und Reis",,esswirtschaft,04.07.2017
"Kalbsfrikassee mit jungen Erbsen, Kapern und Reis",,esswirtschaft,05.07.2017
"Kalbsfrikassee mit jungen Erbsen, Kapern und Reis",,esswirtschaft,06.07.2017
"Kalbsfrikassee mit jungen Erbsen, Kapern und Reis",,esswirtschaft,07.07.2017
Eisbergsalat und Kresse mit Orangen-Karotten-Dressing und gebratenen Shrimps,,esswirtschaft,03.07.2017
Eisbergsalat und Kresse mit Orangen-Karotten-Dressing und gebratenen Shrimps,,esswirtschaft,04.07.2017
Eisbergsalat und Kresse mit Orangen-Karotten-Dressing und gebratenen Shrimps,,esswirtschaft,05.07.2017
Eisbergsalat und Kresse mit Orangen-Karotten-Dressing und gebratenen Shrimps,,esswirtschaft,06.07.2017
Eisbergsalat und Kresse mit Orangen-Karotten-Dressing und gebratenen Shrimps,,esswirtschaft,07.07.2017
"Süßkartoffel-Quinoa-Salat im Glas, mit Cranberrys, Feigen, Mandeln, Rucola und Sanddorndressing**",,esswirtschaft,03.07.2017
"Süßkartoffel-Quinoa-Salat im Glas, mit Cranberrys, Feigen, Mandeln, Rucola und Sanddorndressing**",,esswirtschaft,04.07.2017
"Süßkartoffel-Quinoa-Salat im Glas, mit Cranberrys, Feigen, Mandeln, Rucola und Sanddorndressing**",,esswirtschaft,05.07.2017
"Süßkartoffel-Quinoa-Salat im Glas, mit Cranberrys, Feigen, Mandeln, Rucola und Sanddorndressing**",,esswirtschaft,06.07.2017
"Süßkartoffel-Quinoa-Salat im Glas, mit Cranberrys, Feigen, Mandeln, Rucola und Sanddorndressing**",,esswirtschaft,07.07.2017
Russische Soljanka  mit Bockwurst,,esswirtschaft,03.07.2017
Russische Soljanka  mit Bockwurst,,esswirtschaft,04.07.2017
Russische Soljanka  mit Bockwurst,,esswirtschaft,05.07.2017
Russische Soljanka  mit Bockwurst,,esswirtschaft,06.07.2017
Russische Soljanka  mit Bockwurst,,esswirtschaft,07.07.2017
Kartoffelsuppe mit Rauchwurst,,esswirtschaft,03.07.2017
Kartoffelsuppe mit Rauchwurst,,esswirtschaft,04.07.2017
Kartoffelsuppe mit Rauchwurst,,esswirtschaft,05.07.2017
Kartoffelsuppe mit Rauchwurst,,esswirtschaft,06.07.2017
Kartoffelsuppe mit Rauchwurst,,esswirtschaft,07.07.2017
Berliner Gemüsesuppe,,esswirtschaft,03.07.2017
Berliner Gemüsesuppe,,esswirtschaft,04.07.2017
