dish,date,price,business
Kartoffelsuppe mit Wiener Würstchen & 1 Brötchen,07.07.2017,4.00,sonnenschein
"Putenroulade mit Hühnerhack-Pesto Füllung, Nudeln, Kräuterrahmsauce",07.07.2017,6.00,sonnenschein
"Ei in Hackmantel, Buttererbsen, Kartoffeln, Kräuterrahmsauce",07.07.2017,5.90,sonnenschein
"Leberkäse, Spiegelei, grüne Bohnen, Kartoffeln, Del.sauce",07.07.2017,5.90,sonnenschein
"Schupfnudeln mit getrocknete Tomaten, Frische Basilikum, Salat (vegetarisch)",07.07.2017,5.00,sonnenschein
dish,date,price,business
"Kalbsfrikassee mit jungen Erbsen, Kapern und Reis",03.07.2017,,esswirtschaft
"Kalbsfrikassee mit jungen Erbsen, Kapern und Reis",04.07.2017,,esswirtschaft
"Kalbsfrikassee mit jungen Erbsen, Kapern und Reis",05.07.2017,,esswirtschaft
"Kalbsfrikassee mit jungen Erbsen, Kapern und Reis",06.07.2017,,esswirtschaft
"Kalbsfrikassee mit jungen Erbsen, Kapern und Reis",07.07.2017,,esswirtschaft
Eisbergsalat und Kresse mit Orangen-Karotten-Dressing und gebratenen Shrimps,03.07.2017,,esswirtschaft
Eisbergsalat und Kresse mit Orangen-Karotten-Dressing und gebratenen Shrimps,04.07.2017,,esswirtschaft
Eisbergsalat und Kresse mit Orangen-Karotten-Dressing und gebratenen Shrimps,05.07.2017,,esswirtschaft
Eisbergsalat und Kresse mit Orangen-Karotten-Dressing und gebratenen Shrimps,06.07.2017,,esswirtschaft
Eisbergsalat und Kresse mit Orangen-Karotten-Dressing und gebratenen Shrimps,07.07.2017,,esswirtschaft
"Süßkartoffel-Quinoa-Salat im Glas, mit Cranberrys, Feigen, Mandeln, Rucola und Sanddorndressing**",03.07.2017,,esswirtschaft
"Süßkartoffel-Quinoa-Salat im Glas, mit Cranberrys, Feigen, Mandeln, Rucola und Sanddorndressing**",04.07.2017,,esswirtschaft
"Süßkartoffel-Quinoa-Salat im Glas, mit Cranberrys, Feigen, Mandeln, Rucola und Sanddorndressing**",05.07.2017,,esswirtschaft
