"price","location","dish","business","date","ingredients"
"4,70","Alexanderplatz","Kartoffelschnitz mit Rindfleisch, Spätzle, Möhren, Sellerie, Lauch, Sahne und frischer Petersilie","Suppencult","10.07.2017",""
"4,70","Alexanderplatz","Kartoffelschnitz mit Rindfleisch, Spätzle, Möhren, Sellerie, Lauch, Sahne und frischer Petersilie","Suppencult","11.07.2017",""
"4,70","Alexanderplatz","Kartoffelschnitz mit Rindfleisch, Spätzle, Möhren, Sellerie, Lauch, Sahne und frischer Petersilie","Suppencult","12.07.2017",""
"4,70","Alexanderplatz","Kartoffelschnitz mit Rindfleisch, Spätzle, Möhren, Sellerie, Lauch, Sahne und frischer Petersilie","Suppencult","13.07.2017",""
"4,70","Alexanderplatz","Kartoffelschnitz mit Rindfleisch, Spätzle, Möhren, Sellerie, Lauch, Sahne und frischer Petersilie","Suppencult","14.07.2017",""
"4,30","Alexanderplatz","Bologneser Reistopf mit Hackfleisch, Paprika, Zucchini, Sahne und frischer Petersilie","Suppencult","10.07.2017",""
"4,30","Alexanderplatz","Bologneser Reistopf mit Hackfleisch, Paprika, Zucchini, Sahne und frischer Petersilie","Suppencult","11.07.2017",""
"4,30","Alexanderplatz","Bologneser Reistopf mit Hackfleisch, Paprika, Zucchini, Sahne und frischer Petersilie","Suppencult","12.07.2017",""
"4,30","Alexanderplatz","Bologneser Reistopf mit Hackfleisch, Paprika, Zucchini, Sahne und frischer Petersilie","Suppencult","13.07.2017",""
"4,30","Alexanderplatz","Bologneser Reistopf mit Hackfleisch, Paprika, Zucchini, Sahne und frischer Petersilie","Suppencult","14.07.2017",""
"4,40","Alexanderplatz","Bouillabaisse Fischsuppe mit Seelachsfilet, Möhren, Zwiebeln, Fenchel, frischen Tomaten und Schnittlauch","Suppencult","10.07.2017",""
"4,40","Alexanderplatz","Bouillabaisse Fischsuppe mit Seelachsfilet, Möhren, Zwiebeln, Fenchel, frischen Tomaten und Schnittlauch","Suppencult","11.07.2017",""
"4,40","Alexanderplatz","Bouillabaisse Fischsuppe mit Seelachsfilet, Möhren, Zwiebeln, Fenchel, frischen Tomaten und Schnittlauch","Suppencult","12.07.2017",""
"4,40","Alexanderplatz","Bouillabaisse Fischsuppe mit Seelachsfilet, Möhren, Zwiebeln, Fenchel, frischen Tomaten und Schnittlauch","Suppencult","13.07.2017",""
"4,40","Alexanderplatz","Bouillabaisse Fischsuppe mit Seelachsfilet, Möhren, Zwiebeln, Fenchel, frischen Tomaten und Schnittlauch","Suppencult","14.07.2017",""
"5,50","Alexanderplatz","Hausgemachtes Hühnerfrikassee mit Spargel, Erbsen, Möhren, Champigons, dazu Reis und frische Petersilie","Suppencult","10.07.2017",""
"5,50","Alexanderplatz","Hausgemachtes Hühnerfrikassee mit Spargel, Erbsen, Möhren, Champigons, dazu Reis und frische Petersilie","Suppencult","11.07.2017",""
"5,50","Alexanderplatz","Hausgemachtes Hühnerfrikassee mit Spargel, Erbsen, Möhren, Champigons, dazu Reis und frische Petersilie","Suppencult","12.07.2017",""
"5,50","Alexanderplatz","Hausgemachtes Hühnerfrikassee mit Spargel, Erbsen, Möhren, Champigons, dazu Reis und frische Petersilie","Suppencult","13.07.2017",""
"5,50","Alexanderplatz","Hausgemachtes Hühnerfrikassee mit Spargel, Erbsen, Möhren, Champigons, dazu Reis und frische Petersilie","Suppencult","14.07.2017",""
"5,40/5,80","Alexanderplatz","Linsensalat mit roten Linsen, Hirtenkäse, Roter Bete, Lauchzwiebeln, Pfirsichstücken, einem hausgemachten Honig - Senfdressing und frischer Petersilie, auf Wunsch mit Hähnchenbrustfilet","Suppencult","10.07.2017",""
"5,40/5,80","Alexanderplatz","Linsensalat mit roten Linsen, Hirtenkäse, Roter Bete, Lauchzwiebeln, Pfirsichstücken, einem hausgemachten Honig - Senfdressing und frischer Petersilie, auf Wunsch mit Hähnchenbrustfilet","Suppencult","11.07.2017",""
"5,40/5,80","Alexanderplatz","Linsensalat mit roten Linsen, Hirtenkäse, Roter Bete, Lauchzwiebeln, Pfirsichstücken, einem hausgemachten Honig - Senfdressing und frischer Petersilie, auf Wunsch mit Hähnchenbrustfilet","Suppencult","12.07.2017",""
"price","location","dish","business","date","ingredients"
"3.90","Adlershof","Erbsensuppe mit Speck","Albert","10.07.2017",""
"5.00","Adlershof","Paprika gefüllt mit Couscous, Currysauce & Lollo Rosso","Albert","10.07.2017","vegetarian"
"5.70","Adlershof","Wurstgulasch mit Spirelli","Albert","10.07.2017",""
"3.90","Adlershof","Käse-Lauchsuppe","Albert","11.07.2017","vegetarian"
"5.00","Adlershof","Blumenkohl-Broccoli-Gratin mit Pesto von getrockneten Tomaten","Albert","11.07.2017","vegetarian"
"5.80","Adlershof","BBQ-Hähnchenkeule mit Wedges & Cole Slaw","Albert","11.07.2017",""
"3.90","Adlershof","Altmärkische Gemüsesuppe mit Eierstich","Albert","12.07.2017","vegetarian"
"5.00","Adlershof","Linguine mit Apfel-Ziegenkäsesauce & Walnüssen","Albert","12.07.2017","vegetarian"
"5.80","Adlershof","Spätzle-Hackfleischauflauf mit Porree & Käse überbacken","Albert","12.07.2017",""
"3.90","Adlershof","Italienische Minestrone","Albert","13.07.2017","vegetarian"
"5.00","Adlershof","Spinat-Lasagne mit Tomatensauce & Schafskäse","Albert","13.07.2017","vegetarian"
"5.80","Adlershof","Chicken-Fajita mit mexikanischem Gemüse, Käse & Sauerrahm","Albert","13.07.2017",""
"3.90","Adlershof","Grüne Bohneneintopf mit Kasseler","Albert","14.07.2017",""
"5.00","Adlershof","Sommerliche Schupfnudelpfanne mit Zucchini, Champignons","Albert","14.07.2017","vegetarian"
"5.80","Adlershof","Königsberger Klopse mit Erbsen-Karottengemüse &","Albert","14.07.2017",""
"7.00","Adlershof","Summertime mit Schmand, Nektarinen, Honig & Ziegenkäse","Albert","14.07.2017",""
"5.50","Adlershof","Klassisch mit Speck & Zwiebeln","Albert","14.07.2017",""
"5.50","Adlershof","Mozzarella, Tomate & frischer Basilikum","Albert","14.07.2017",""
"6.00","Adlershof","Rucola, Serranoschinken & Parmesan","Albert","14.07.2017",""
"6.00","Adlershof","Thunfisch & Zwiebeln","Albert","14.07.2017",""
"3.90","Adlershof","Erbsensuppe mit Speck","Albert","10.07.2017",""
"5.00","Adlershof","Paprika gefüllt mit Couscous, Currysauce & Lollo Rosso","Albert","10.07.2017","vegetarian"
"5.70","Adlershof","Wurstgulasch mit Spirelli","Albert","10.07.2017",""
"3.90","Adlershof","Käse-Lauchsuppe","Albert","11.07.2017","vegetarian"
"5.00","Adlershof","Blumenkohl-Broccoli-Gratin mit Pesto von getrockneten Tomaten","Albert","11.07.2017","vegetarian"
"5.80","Adlershof","BBQ-Hähnchenkeule mit Wedges & Cole Slaw","Albert","11.07.2017",""
"3.90","Adlershof","Altmärkische Gemüsesuppe mit Eierstich","Albert","12.07.2017","vegetarian"
"5.00","Adlershof","Linguine mit Apfel-Ziegenkäsesauce & Walnüssen","Albert","12.07.2017","vegetarian"
"5.80","Adlershof","Spätzle-Hackfleischauflauf mit Porree & Käse überbacken","Albert","12.07.2017",""
"3.90","Adlershof","Italienische Minestrone","Albert","13.07.2017","vegetarian"
